Year,Country,Inflation_Rate,GDP_Per_Capita,GDP_Growth_Rate,Unemployment_Rate,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1970,Algeria,6.599999999,352.5338404,8.86265711,7.962822787,27.085,5.464,16.944,27.793,17.291,45.172
1970,Denmark,6.514841417,3464.455156,1.596841747,8.249051528,31.338,9.083,20.677,27.728,22.563,33.976
1970,Germany,3.450249364,2761.166833,5.103144545,8.079006101,35.954,12.345,27.761,39.133,21.083,32.268
1970,Colombia,6.908622758,344.3325998,6.207796961,8.114286396,29.691,5.607,17.989,27.691,18.278,41.865
1970,China,4.650510543,113.1625778,19.3,7.378692462,30.506,5.452,18.191,32.11,18.98,42.641
1970,Costa Rica,4.652297493,530.7063376,7.503134343,8.033466801,29.065,5.431,17.943,31.567,17.328,43.125
1970,Ecuador,5.17127612,463.7724284,6.87192933,8.072024405,28.4,5.447,17.471,27.019,17.831,42.711
1970,Egypt,3.762898596,231.2174024,5.598515038,8.154464894,29.398,5.506,18.331,28.629,18.572,41.905
1970,Greece,2.841670679,1494.387984,8.930580656,7.913125887,28.965,6.303,17.61,28.933,17.905,66.934
1970,Georgia,12.31576176,2523.388432,12.05207582,7.690616297,30.909,11.287,22.053,35.371,23.815,30.727
1970,United Kingdom,6.366568417,2347.544318,2.708581505,8.231576906,30.186,8.813,19.459,29.137,21.762,34.576
1970,France,5.299641246,2870.15751,6.108679758,8.016772969,30.338,7.367,19.503,26.697,21.81,30.325
1970,Finland,2.740420431,2465.644819,7.470432644,7.956484214,36.977,11.698,24.792,36.952,20.428,39.468
1970,Spain,5.731144843,1212.289326,4.244970767,8.190798075,30.232,5.876,18.862,30.032,20.163,27.711
1970,Chile,40.16597704,931.1267372,1.82896697,8.330767094,29.145,5.509,16.681,25.772,20.861,25.575
1970,Switzerland,3.615986786,4044.420682,6.377406519,7.953757745,41.377,12.764,28.723,37.933,31.428,30.405
1970,Canada,3.346039814,4135.821498,2.918713242,8.14707346,38.79,12.617,27.604,36.416,34.692,33.586
1970,Tunisia,5.048352631,285.1442237,4.669631773,8.204816287,30.451,5.469,19.184,27.846,20.114,38.174
1970,Turkey,7.923952083,502.6206744,3.233508973,8.276927185,30.162,5.371,18.875,26.653,20.175,34.074
1970,Uruguay,16.30614494,765.911759,2.333213381,8.315174832,30.152,5.599,18.269,25.395,21.425,32.2
1970,United States,5.838255338,5234.296666,0.216606498,8.255260632,34.566,9.762,23.67,31.833,31.212,33.835
1970,South Africa,4.991877117,948.5917938,5.248661431,8.144643516,30.524,5.558,18.342,28.006,18.844,31.261
1970,Thailand,-0.088041086,197.9937498,11.40794907,7.825972205,31.871,5.459,18.925,30.573,22.725,43.115
1970,Brazil,273.85443,6597.142822,10.4,7.548017115,36.718,12.327,25.165,33.418,31.249,31.467
1970,Bahrain,1.628981278,1759.463345,4.566238829,8.151151825,32.338,7.213,22.322,31.233,26.805,47.864
1970,Cyprus,2.40018825,17106.24061,4.834862682,7.50625749,52.795,16.591,34.817,45.215,45.844,52.808
1970,Jordan,5.899999999,410.6397976,4.609145957,8.202887859,30.093,5.58,18.9,27.813,20.22,38.101
1970,Malta,3.715658848,828.4216803,5.735091166,8.122206631,30.535,5.502,18.874,29.251,19.411,33.385
1970,Sweden,7.016358851,4736.217154,6.473673926,7.918998159,32.353,9.292,21.84,26.953,27.932,28.881
1970,Syria,4.637681159,338.7112796,-1.796852875,8.571031943,33.456,5.924,18.834,36.727,21.302,38.335
1970,Hong Kong,3.947491128,960.0319615,9.206830693,7.919012058,29.104,5.24,18.029,29.317,18.786,35.845
1970,New Zealand,6.517181052,2311.027722,-1.3976076,8.466905286,31.517,8.926,20.407,29.926,22.503,33.984
1970,Nepal,15.23727845,69.27090364,2.575992127,8.330201803,30.571,5.461,19.546,25.27,20.716,31.039
1970,Norway,10.63720653,3306.219476,1.943300505,8.234710732,32.824,10.173,21.669,27.37,24.267,32.179
1970,Netherlands,3.668930888,2927.072939,6.140181424,8.013078716,37.214,12.093,26.936,38.163,22.157,30.158
1970,Nicaragua,6.95919746,1290.255577,1.35382659,8.351940813,30.349,6.981,18.688,28.991,19.791,27.024
1970,Malaysia,1.843935966,374.9228805,5.98653863,8.126982059,31.913,5.536,18.757,31.229,22.422,42.252
1970,Panama,3.083294984,891.0546713,6.959226108,8.050084856,30.882,5.35,18.689,28.57,17.795,35.563
1970,Singapore,0.463352991,925.7978643,13.942003,7.651648492,32.883,5.299,19.266,30.889,22.748,34.134
1970,Saudi Arabia,0.177777778,880.636281,52.5920942,5.452233537,32.853,5.456,19.738,30.947,22.772,29.949
1970,Portugal,6.38014449,934.0821561,9.11384196,7.924724925,28.466,5.353,17.296,28.343,18.36,36.174
1970,Philippines,14.38146168,201.9232587,3.692487487,8.261398626,30.942,5.182,19.943,26.921,20.882,31.217
1970,Peru,5.025235901,3473.11156,3.365946003,8.148332494,31.125,7.73,19.689,26.506,23.776,26.501
1970,Pakistan,5.34984091,169.1240002,11.35346172,7.82881192,28.936,5.499,17.671,29.33,18.751,41.939
1970,Israel,6.110742036,2476.219881,7.30733553,7.964442607,27.038,6.89,17.592,26.275,18.519,41.729
1970,Iceland,13.37247515,2576.353444,7.458143075,7.949813498,27.58,7.776,18.377,25.853,20.926,33.098
1970,Iran,1.66687094,385.812266,10.92760163,7.845160893,31.544,5.281,18.684,30.783,22.194,43.068
1970,Ireland,8.207190161,1486.514527,2.660529298,8.269135601,28.599,7.373,18.188,27.404,18.614,42.566
1970,India,5.09226162,111.9683182,5.157229737,8.184135261,29.721,5.584,18.251,27.036,18.255,41.091
1970,Indonesia,12.39946465,79.41345543,7.554634515,8.046979231,29,5.104,18.569,26.88,18.117,36.562
1970,Hungary,9.231891733,557.3729824,4.7,8.190808512,31.704,5.372,21.655,29.637,19.682,34.288
1970,Italy,4.968319873,2106.863959,5.310502429,8.093625487,30.731,7.901,19.117,29.743,20.855,32.652
1970,Mexico,5.003412055,706.3131871,6.502484035,8.083164228,29.53,5.537,18.13,27.035,18.975,43.199
1970,Morocco,1.279181324,257.7296448,4.713460376,8.204447703,34.073,5.374,19.589,33.014,22.09,39.019
