Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
Norway,151.3,55.5,116.8,142.4,150.2,92.6,2012
Switzerland,141.3,58.5,111.5,130.5,123.1,127.5,2012
Japan,134.2,54.2,105.4,118,84.3,79.9,2012
Monaco,128.2,173.1,144.3,89.8,138.1,62.3,2012
Australia,123,58.8,99.9,113.7,109,109.5,2012
Denmark,116.5,41.3,89.4,94.1,130.7,102,2012
Belgium,108.7,35,82.2,86,107.5,90.4,2012
Ireland,107.8,38.1,82.7,97.1,106.1,89.6,2012
Netherlands,104.5,41.2,81.7,69.6,104.4,95.2,2012
Iceland,103.6,32.7,78.1,97.7,92.2,78.6,2012
Sweden,101.9,29.4,75.8,85.3,101.5,100.7,2012
New Zealand,101.7,31.7,76.5,95.6,86.5,85.4,2012
United Kingdom,100.1,37.9,77.7,83.7,94.1,88.3,2012
Finland,99.7,36.5,76.9,82.3,96.9,98.1,2012
Bahrain,99.5,37.5,77.2,150.5,86.9,52.8,2012
France,98.2,35.9,75.8,83,94.9,92.7,2012
Canada,98,38.3,76.6,93.8,83.2,108.2,2012
Kuwait,96.2,30.8,72.7,73.5,137.4,70,2012
Singapore,96.1,90.7,94.1,82.8,65.1,93.3,2012
Israel,95.5,32.1,72.6,77.3,89.5,75,2012
Austria,94.8,34.3,73.1,85.1,76.6,98.3,2012
Italy,94.8,34.3,73,76,95.4,68.6,2012
Saudi Arabia,93.4,18,66.3,135.5,39.6,82.1,2012
Greece,93.1,18.9,66.4,69.8,91.2,48.3,2012
Cyprus,89.5,22.4,65.4,74.6,92.2,77,2012
Germany,88.6,28.9,67.1,72.1,76.2,114.4,2012
Lebanon,86.1,37,68.4,45.3,69.6,24.4,2012
Hong Kong,84.4,97,88.9,80.5,69,84.3,2012
Qatar,84.3,63.5,76.8,81.6,72.9,153.6,2012
Puerto Rico,84.3,28.1,64.1,81.8,64.6,78.2,2012
Brazil,83.7,25.6,62.8,57.8,57,32.8,2012
Malta,83.2,19.5,60.2,70.8,69.1,91.7,2012
United States,83.1,37.4,66.6,77.6,68.7,116.5,2012
Uruguay,83,25.3,62.2,66,68.8,29.4,2012
United Arab Emirates,82,66.9,76.5,66.2,80.5,125.9,2012
Spain,80.2,27.3,61.2,59,74.8,88,2012
South Africa,75.6,25.4,57.5,59.7,56.3,92.5,2012
Slovenia,74.3,25.7,56.8,64.7,58,57.9,2012
Morocco,71.9,26.6,55.6,61.4,41.7,16.7,2012
Azerbaijan,71.2,41,60.4,53.2,68.2,26.4,2012
Kazakhstan,70.8,31.8,56.8,49.6,54.7,24.5,2012
Portugal,70.8,23,53.6,56.2,52.2,56,2012
South Korea,68.6,27.8,53.9,70.7,48.2,108.6,2012
Costa Rica,68.4,23,52.1,67,52.9,46.3,2012
Latvia,67.8,14.3,48.5,51.3,63.6,35,2012
Croatia,67.5,13.9,48.2,56,52.4,50.1,2012
Chile,67.4,19.8,50.3,54.2,54.3,47.1,2012
Estonia,66.9,15.1,48.3,51.3,58.7,47.8,2012
Turkey,65.3,15.5,47.4,47.3,48.2,52.6,2012
Russia,64.8,23.8,50.1,49.7,67.5,43.9,2012
Argentina,63.1,19.2,47.3,52.4,54.4,41.7,2012
Taiwan,62.9,18.7,47,75.3,35.6,74.9,2012
Armenia,62.8,19.6,47.2,38.4,53.2,20.7,2012
Montenegro,62.2,17.2,46,49.1,55.9,38.9,2012
Lithuania,62.1,14.8,45.1,53,41.8,33.6,2012
Czech Republic,61.4,21.3,47,49,40.9,61.9,2012
Jordan,60.4,13.3,43.5,54.9,48.2,37,2012
Colombia,60,16.6,44.4,50.2,38.8,29.3,2012
Hungary,59.7,12.7,42.7,44.6,43.6,36.8,2012
Slovakia,59.3,23,46.2,49.2,40,49.2,2012
Georgia,56.1,15.3,41.4,40.9,49.1,29.4,2012
Peru,55.1,15.7,40.9,41.9,36.2,36,2012
Mexico,55.1,14,40.3,48.5,43.2,59,2012
Malaysia,54.9,12.8,39.7,53.7,31.1,74.1,2012
Iran,54.8,25.2,44.2,53.9,42.2,46.2,2012
Tunisia,54.5,9.9,38.4,45.7,40.4,32.4,2012
Panama,54,25.3,43.7,48.9,37.7,40.9,2012
Mongolia,53.9,24,43.1,57.9,37.8,22.6,2012
Indonesia,51.4,17.2,39.1,57.9,30.1,18.3,2012
Ukraine,51.1,14.9,38.1,38.4,46.1,25.6,2012
Bulgaria,50.9,12.3,37,42,33,33.8,2012
Ecuador,50.8,12.4,37,46.6,29,26,2012
Bosnia And Herzegovina,50.8,8.4,35.5,41.1,39.6,44.4,2012
Serbia,50.5,11.9,36.6,36.5,40.3,31.3,2012
Syria,50.2,12.8,36.8,37.7,33.1,23.6,2012
Thailand,50.2,17.6,38.4,65.5,27.4,32,2012
Poland,49.7,16.9,37.9,39.4,38.4,59.2,2012
Egypt,49.6,16,37.5,43.4,44.8,28.2,2012
China,48.8,19.7,38.3,53.7,33.6,30.3,2012
Nicaragua,48.3,10.7,34.8,47.5,34.6,42.6,2012
Romania,47.9,12.2,35,39.8,35.3,34.3,2012
Moldova,47.8,12.3,35,38.6,40.3,27.6,2012
Belarus,45.6,10.6,33,33.8,52.8,23.6,2012
Nepal,44.3,4.9,30.1,36.1,30.2,24.5,2012
Philippines,43.6,11,31.9,43.1,23.8,29,2012
Vietnam,42.9,33,39.3,45.3,26.7,28,2012
North Macedonia,42.8,9.5,30.8,33.6,31.6,35.2,2012
Algeria,40.6,8.3,29,43.6,25.6,27.5,2012
Pakistan,36.2,6.8,25.6,31.5,29.1,28.3,2012
India,33.4,8.4,24.4,33.8,21.1,60.1,2012
Norway,173.8,69,123.5,162.5,183.3,95.9,2013
Switzerland,151.8,70.9,113,153.1,142.4,137.3,2013
Australia,133.7,72.7,104.4,128.7,116.4,103,2013
Luxembourg,124.8,67.7,97.4,111.8,130.8,121.4,2013
Denmark,119.9,42.9,83,104,130.5,102.1,2013
Japan,115.2,43.8,81,112.8,70,86,2013
Sweden,114.5,36.1,76.9,105.6,110.1,106.6,2013
New Zealand,113.6,46.1,81.2,111.7,93.5,80.6,2013
Bahrain,113.5,29.6,73.2,162.9,71,59.3,2013
Iceland,112.4,39.3,77.3,118.8,99.7,67.9,2013
Ireland,112.3,40.4,77.8,105.5,103,95.1,2013
Venezuela,111,41.5,77.6,126.4,93.6,16.6,2013
Belgium,108,39.2,75,90.1,115.6,94.1,2013
Finland,107,40.4,75,101.3,100.2,94.1,2013
Singapore,105.4,103,104.3,91.2,63.3,59.9,2013
Netherlands,103.9,45.7,76,81.1,107.7,92.9,2013
France,103.2,38,71.9,97.7,100.4,98.1,2013
United Kingdom,102.2,41.1,72.9,93.1,94.3,89.1,2013
Italy,101.4,36.2,70.1,87.3,107.4,70.4,2013
Canada,99.6,39.8,70.9,101.2,85.6,109.6,2013
Cyprus,98.6,25,63.3,89.3,101.2,72.5,2013
Austria,97.9,36.8,68.6,92.8,81.4,87.5,2013
Greece,92.6,18.6,57.1,74.7,95.5,49.4,2013
Israel,92.2,32.3,63.5,76.9,90.1,72.6,2013
Germany,91.6,33.2,63.6,80.7,79.7,117.6,2013
Nigeria,87.2,17.9,53.9,92.9,62.5,32.7,2013
Malta,85.6,20.6,54.4,73.7,77.6,77.8,2013
Spain,83.1,29.1,57.2,66.5,81,84,2013
Puerto Rico,82.6,25,54.9,83.5,65,94.1,2013
Qatar,82.4,84.1,83.2,75,78.8,136.7,2013
Slovenia,82.1,26.5,55.4,70.5,63.2,59.2,2013
Uruguay,81.7,26.1,55,70.5,75.7,37.6,2013
Kuwait,80.7,34.6,58.6,79,78.7,84.6,2013
United States,80.5,37.4,59.8,80.7,67.9,136.5,2013
South Korea,80.4,28.7,55.6,94.1,46.5,102.1,2013
Azerbaijan,78.2,41.9,60.8,67.9,64.8,20.5,2013
Hong Kong,77.8,88.6,83,79.8,54.5,80.3,2013
Lebanon,75.6,38.5,57.8,58.1,65.2,42.5,2013
United Arab Emirates,75.5,63.3,69.6,65,69.9,121.2,2013
Portugal,75.3,24.3,50.8,61.2,59.1,54.1,2013
Croatia,72.2,14.9,44.7,64.5,56,51.6,2013
Saudi Arabia,72.2,15.7,45.1,74.5,36.5,114.6,2013
