Country,Year,GDP_Growth_Rate,Inflation_Rate,GDP_Per_Capita,Unemployment_Rate,Cost of Living Index,Local Purchasing Power Index
Africa Eastern and Southern,1970,1.137275544,34.82127025,253.3823695,8.312641715,39.12540054,27.66881943
Africa Western and Central,1970,17.56641211,-21.10121588,219.8653684,7.340536282,40.9287262,31.21442223
Arab World,1970,22.32043828,-37.36917042,351.870854,7.054094121,40.92725754,32.69760513
Argentina,1970,3.045643319,21.97574393,9418.616462,7.867179344,50.22319031,42.96741486
Australia,1970,7.175799265,3.439153439,3304.83782,7.848363749,39.69866562,41.43130493
Austria,1970,7.122875502,4.372824416,2058.769051,7.896776428,38.81311798,40.84740067
Burundi,1970,21.32567073,-0.199650611,69.39510892,7.122310211,42.98022461,29.52122879
Belgium,1970,6.352672114,3.908472385,2765.890997,7.917082438,40.10943985,41.2654953
Benin,1970,2.097757581,31.63745615,110.34695,8.260935889,40.03684616,30.52493095
Burkina Faso,1970,0.117019611,1.772603315,81.68773209,8.388093942,40.8741188,35.01647949
Bangladesh,1970,5.619852293,19.63056034,133.1429452,8.051445683,38.24669647,35.63440704
"Bahamas, The",1970,-5.649649519,6.152093421,3005.784399,8.624608659,34.01745605,35.80270386
Belize,1970,4.807693364,22.20928628,441.1719393,8.08836982,39.75470734,34.89114761
Bermuda,1970,6.31229236,15.29979597,3387.272727,7.892195292,40.24713898,39.44842529
Bolivia,1970,5.231029301,3.955509211,219.55969,8.077036434,39.64494705,38.54941177
Brazil,1970,10.4,-2.305277139,8516.296095,7.46319528,45.01655579,37.37309265
Barbados,1970,9.509402995,7.284216374,688.5346662,7.803499273,36.50733185,35.1591835
Botswana,1970,17.12026767,-19.54727445,162.506051,7.369051492,40.80743027,31.0490818
Central African Republic,1970,2.332880877,30.84828172,91.47264874,8.247692043,40.28276825,31.21821594
Canada,1970,2.918713242,3.346039814,4135.821498,8.072314315,46.66596985,42.13294601
Switzerland,1970,6.377406519,3.615986786,4044.420682,7.8689997,41.16145706,42.15155411
Chile,1970,1.82896697,32.05508568,931.1267372,8.247039821,40.47407913,30.47274208
China,1970,19.3,-26.93955859,113.1625778,7.241708768,41.2032547,31.59515953
Cote d'Ivoire,1970,10.37503184,8.205190543,265.7403582,7.766992169,36.42842484,32.86758041
Cameroon,1970,3.092068234,5.858085809,178.4061667,8.205794919,41.51322556,37.5998764
"Congo, Dem. Rep.",1970,-0.245056575,8.025284045,9847.399053,8.052036987,48.03542709,45.55459595
"Congo, Rep.",1970,6.358470187,17.07688569,196.8238117,8.005373586,37.26493073,36.69829941
Colombia,1970,6.207796961,6.908622758,344.3325998,8.013364081,37.90300369,38.9406395
Costa Rica,1970,7.503134343,4.652297493,530.7063376,7.929784205,37.35289383,39.97667313
Caribbean small states,1970,1.078585387,34.74431509,709.9327389,8.299531543,39.4886322,27.89888763
Germany,1970,5.103144545,3.450249364,2761.166833,7.992007185,42.04985428,40.82170868
Denmark,1970,1.596841747,6.514841417,3464.455156,8.17494747,45.77747726,39.0002327
Dominican Republic,1970,18.22668288,3.816666666,331.8907091,7.296766663,41.84369659,29.40495872
Algeria,1970,8.86265711,6.599999999,352.5338404,7.854576185,36.34272385,37.20402908
East Asia & Pacific (excluding high income),1970,13.44169049,-6.991851075,113.8319801,7.588752493,38.14219284,30.56699944
Early-demographic dividend,1970,8.289922,3.812664908,215.3002986,7.894527865,36.5224762,39.37686157
East Asia & Pacific,1970,3.891123438,25.4036132,320.2438084,8.147064341,41.33322144,34.88943863
Europe & Central Asia,1970,4.984959216,21.03386337,1384.314136,8.043602088,40.14162445,35.87826157
Ecuador,1970,6.87192933,5.17127612,463.7724284,7.969792354,37.7197876,39.7216835
"Egypt, Arab Rep.",1970,5.598515038,3.762898596,231.2174024,8.054712207,38.90229797,38.74927139
Euro area,1970,5.59703132,4.1406484,2215.089405,7.982265476,40.3318634,40.31188202
Spain,1970,4.244970767,5.731144843,1212.289326,8.09921806,42.07756042,39.57659531
Ethiopia,1970,3.48272874,10.12195122,107.5783521,8.183926948,41.65940094,37.62089157
