GDP_Growth_Rate,GDP_Per_Capita
,253.3823695
,219.8653684
8.86265711,352.5338404
,351.870854
,
7.122875502,
-5.649649519,
5.619852293,133.1429452
,688.5346662
,2765.890997
4.807693364,441.1719393
,110.34695
,3387.272727
5.231029301,
17.12026767,
0.117019611,81.68773209
,69.39510892
3.092068234,178.4061667
2.918713242,4135.821498
1.078585387,709.9327389
,
1.859656479,127.9564554
1.82896697,931.1267372
19.3,113.1625778
6.207796961,344.3325998
,196.8238117
7.503134343,
,265.7403582
1.596841747,3464.455156
,
8.289922,215.3002986
,320.2438084
13.44169049,115.2622192
13.44169049,113.8319801
,
,231.2174024
,313.0400183
,107.5783521
,
4.984959216,1384.314136
5.508305287,1888.62756
12.70271113,416.7253857
7.470432644,
12.2177344,214.4787957
6.108679758,2870.15751
,2154.83795
,542.2083275
6.153846573,
5.103144545,
9.723472587,249.9133518
,
5.707883598,
4.255456893,379.7175797
,
,
3.019043913,2441.674489
,259.8146512
,960.0319615
4.7,557.3729824
,257.4849816
7.776299083,
17.96419712,
0.869641654,
8.242260751,166.4781984
7.458143075,2576.353444
5.157229737,
7.554634515,
10.92760163,385.812266
4.544357067,334.4412024
2.660529298,1486.514527
,2476.219881
5.310502429,2106.863959
12.06440904,755.5953108
0.399050645,2100.74807
-4.655446916,139.7572736
10.05273481,279.3087463
10.81376081,
-0.709250473,
2.177071169,67.16291998
6.663192709,
,2410.279115
7.933697739,200.3175736
,144.6571944
,4298.033897
5.276455575,
5.98653863,374.9228805
6.136954863,58.46546333
11.98593115,275.7136584
-0.402343021,271.338747
6.502484035,706.3131871
,402.6781162
8.373203231,
,321.5433993
8.104266356,206.1270565
,
4.979330597,20.6550842
2.575992127,
6.140181424,2927.072939
,3203.711465
-1.3976076,2311.027722
,139.1771437
25.00724193,225.7739995
,
1.943300505,3306.219476
,2618.626686
,382.1715672
,169.1240002
6.959226108,
10.84280578,
5.553425733,246.850847
3.692487487,201.9232587
9.11384196,934.0821561
2.676546481,
,
,
6.001425247,56.43719034
52.5920942,880.636281
8.562045515,297.0429711
,343.8811885
8.62049324,156.406377
13.942003,925.7978643
4.581407921,93.51989929
5.248661431,948.5917938
,
,118.1973193
4.244970767,
3.846629857,185.3671328
10.74588955,187.3876436
7.845648716,
7.845648716,239.7086435
7.845061018,
5.925074716,143.4661255
2.7,
6.473673926,
,4044.420682
-1.796852875,338.7112796
,215.2334442
,197.9937498
2.524302645,
3.533635678,831.0833359
4.669631773,285.1442237
3.233508973,502.6206744
,
0.216606498,5234.296666
8.395368134,
2.333213381,765.911759
,
3.735703524,813.3802713
4.797112903,
22.56515084,362.1441468
5.473910819,268.3500786
,197.1038803
-11.33171917,
4.649465361,4193.162374
,396.3473072
,3495.141627
5.114968585,2380.978458
1.62650874,3108.954374
1.607142856,1827.689107
-5.479483027,127.9954527
,770.8860444
3.98582711,3082.927989
3.959441082,479.9269418
-1.496841826,
,
2.677100489,214.642191
5.063336439,
,210.9590897
,84.5179878
2.746828712,
,
,
,755.0313523
1.130202384,
-2.247626372,134.0981084
,1089.310862
7.059999999,118.654144
5.960727946,
,
,565.2875631
9.456637662,277.000411
8.583859012,766.1069507
3.004995574,3845.506089
,
,226.7482527
5.279263139,346.6660228
6.769539782,120.5039612
6.773573611,119.0107021
,433.6708481
4.057346327,
3.858257513,
13.74363373,
6.526476163,110.8015746
3.772924963,2496.499911
3.728569443,1550.524295
3.660883082,
6.888986665,460.5006091
2.356921358,2716.190092
7.640254172,
,3180.33744
12.00240865,2431.171698
,626.0315808
-0.065877039,102.3827351
,3192.133616
5.216124557,266.4636046
,
13.06085135,1874.295302
,355.0903711
5.365818408,
-3.910967458,343.4263313
,395.0811314
,76.11577907
,164.7718593
3.971150248,
3.995003607,254.9258047
7.29300619,
6.2,604.8731762
6.115484125,272.9822396
,
10.61410842,
2.669962749,
6.375758375,
13.06083765,3252.099178
1.642930375,
7.023997197,78.86575683
13.70158299,469.0835554
,
3.469885646,
,2284.891878
1.818107934,2305.609751
,816.4077781
4.698992042,2321.390925
22.17389193,149.4640262
,261.0170407
10.54551355,
7.043680959,4518.735948
,324.2264053
,142.1373137
5.113717713,72.15944934
,227.4439986
,
,4874.740686
6.177547367,208.5147924
,
2.667233586,
3.929365031,175.3548968
10.03466058,402.2149282
,
,63.25645746
2.453993612,874.0663356
,369.4007405
,290.1938989
,299.6048019
,755.3324884
2.301575418,359.0255562
10.66788271,451.5507332
6.212169305,356.170766
6.212169305,359.4955595
6.223000535,
5.228060023,13315.97767
5.596893659,276.5081177
4.129962445,21.04421976
2.89838735,2804.578539
,69.10171858
,
6.999215676,3449.881488
,
5.67932064,
,
3.351698339,5506.272177
5.673611186,
3.764328536,2863.540021
,437.0053369
6.376774499,
0.468372549,175.19892
0.126339925,
