Control_of_Corruption,Government_Effectiveness,Political_Stability,Regulatory_Quality,Rule_of_Law,Voice_and_Accountability
-1.291704774,-2.175166607,-2.417309523,-2.090330362,-1.99247241,-1.680930376
-0.717909098,-0.688587904,-0.336625129,-0.474401653,-0.606355965,-0.648297846
-0.123688802,-1.088766456,0.569660664,-0.907437265,-0.273145229,0.791172504
1.318143249,1.414037704,1.169522166,1.266439795,1.158362508,1.563216686
-1.16770184,-0.859939992,-2.061917305,-1.883404374,-1.630469322,-1.578163505
0.869897187,0.644922495,0.717686951,0.999590993,1.050844908,0.333532423
-0.101317152,0.16569005,0.111376882,0.51806742,0.075552642,0.514151156
-0.82470423,-0.380564451,-0.256798655,-0.282764524,-0.469098508,-0.569909096
1.877355814,1.800564528,1.39611268,1.367597103,1.794790864,1.440202951
1.732163548,1.456104994,1.410462856,1.658712149,1.808153033,1.628327966
-1.445619464,-1.318298459,-0.828929543,-1.196308613,-1.201161504,-1.121030688
1.156810164,1.076666474,0.808356404,0.967723608,1.146361232,1.10283947
0.328688681,-0.494346857,-0.307817906,-0.815027714,-0.130363435,0.418346971
-0.969682217,-0.687850118,-0.54881525,-0.854655921,-0.934023738,-0.058428358
1.542726398,1.414037704,1.050371766,1.288828254,1.046772957,1.342969298
-0.389609158,-0.380564451,-0.102187522,-0.282702386,-0.798983991,0.855676949
1.359654307,1.711543679,1.288499475,1.21423173,1.046772957,1.433299541
-0.026595131,0.388550758,0.559152126,-0.233389333,0.084681548,0.824221611
-0.548114896,-0.380564451,-0.583453715,-0.485150635,-0.537633419,1.208628297
1.318143249,1.157665968,0.717076898,1.012163877,1.210201263,1.180363297
0.94283849,0.644922495,0.486082047,-0.411945343,-0.031503625,-0.952189922
-0.824829102,-0.174989536,-0.134768322,0.00496884,-0.261528313,0.155518606
-0.270569712,-1.192045927,-0.594427824,-0.910771251,-0.241686642,0.158445418
0.817961216,-0.323707879,-0.492535233,-0.25913626,-0.832234144,1.022684455
-0.018579531,-0.143133715,-0.220460132,-0.416773975,-0.223502204,-0.695054591
0.478994995,0.927289665,1.237043977,1.348304272,1.001001835,-0.64997232
-0.597704649,-0.042584829,-0.091028079,-0.184434712,-0.344958007,0.428986371
-0.113489479,-0.928940415,-0.300746202,-0.295270145,-1.51830554,-0.533439755
-0.680634856,-1.662423134,-1.483703375,-1.641464949,-1.381689906,-1.549572229
-1.019842386,-0.724763095,-0.701925755,-0.227968425,-0.308773816,-0.74947238
-1.334984779,-1.080202699,-0.956391931,-1.122349262,-1.441894889,-0.938624918
2.031407595,1.742363691,1.234051704,1.488290906,1.647254705,1.566335797
1.318143249,1.926781178,0.717076898,1.026670456,1.459768295,0.949198723
-1.204945683,-1.406051278,-0.562939286,-0.891484022,-1.729329109,-0.447481632
-1.380423903,-1.540203929,-0.998601556,-0.854655147,-1.256111383,-0.993629873
1.454118729,1.441259503,0.676454544,1.542760015,1.113738179,0.722760618
-0.271189511,-0.114498667,-0.097848825,-1.002804399,-0.223899484,0.057646669
-0.512254357,-0.458628893,-1.6478585,-0.105487652,-0.75183779,-0.278151184
-0.998565018,-1.662423134,0.507538915,-1.131253242,-1.160920024,-0.423996627
-1.321923494,-1.64999783,-2.682812929,-1.756226778,-1.87656343,-2.067680836
-0.860740304,-1.169292927,-1.224944949,-1.227481484,-1.04381001,-0.827253401
0.696142435,0.468430698,0.7530514,0.551819324,0.618176877,1.07736361
-0.260566831,-0.260978222,0.033416919,-0.398577005,-0.78543514,-0.583225548
-1.125436306,0.102206022,-0.03835905,-0.17141071,-0.634232163,-0.161426276
-0.724983811,-1.33112061,0.231270432,-1.100113869,-1.136810899,0.191786617
1.331288218,1.171663761,0.38775152,1.261966825,0.857321024,1.035754323
1.095144391,0.620582998,1.147758007,1.071839333,0.915322721,1.034855723
2.231307983,1.759047866,1.441964746,1.783265352,1.820808649,1.537047744
-0.719981253,-0.893307924,-0.339192003,-1.002804399,-0.971613765,-0.96300292
0.869897187,0.644922495,0.717076898,0.792539001,0.84241569,1.04229033
-0.908694446,-0.223238394,-0.075660296,-0.231283531,-0.55022186,0.056515027
-0.684873819,-0.475311697,-0.77003324,-0.308270067,-0.449707776,0.013284295
-0.472254395,-0.473676085,-0.927885592,-0.847762167,0.001262441,-0.84418416
-0.865277529,-1.150753498,-0.215370372,-0.19300817,-0.870225966,-0.102704912
-1.264369369,-0.958404481,-0.131352261,-1.43762958,-1.093562722,-1.524699688
0.50568527,-0.067930534,-0.398299634,2.214378357,0.341402948,-1.363928318
0.645880938,0.61150378,0.767924547,1.240009665,0.574426711,1.048638105
0.037314087,-0.682056785,-0.206821382,-0.270231128,-0.474024802,-1.326706529
-0.789458632,-1.207593679,-0.673981011,-1.296775341,-0.965788543,-1.083550096
0.659302592,-0.1241927,0.830568552,0.030303229,0.323474795,0.774608672
1.895287037,1.724996448,1.063888907,1.54816103,1.448809624,1.51769793
1.247409225,1.2518574,0.887499452,1.048776388,0.791746438,1.311158419
0.252168298,0.901294231,1.317426801,1.026670456,0.96063441,0.519981205
-1.102376938,-0.598154128,0.125683025,0.135673851,-0.020576319,-0.321172208
-0.374195218,-0.619082868,0.559609056,-0.841568291,0.0169813,-1.274816751
-1.527264118,-0.636936128,-1.570578575,-1.014463782,-1.25632596,-0.33175081
1.905216813,1.724676728,1.288499475,1.481484294,1.609529257,1.55141294
-0.339949548,-0.119933769,-0.32604599,-0.574568629,-0.23357825,0.964155018
0.33865419,0.83755517,0.553863883,0.537135065,1.05352366,0.932049394
0.869897187,0.644922495,0.914663494,0.547131836,0.425557196,0.585294366
-1.039379001,-0.454697043,-1.013414145,-0.763345361,-1.126488209,-0.235270128
-1.221769214,-1.169292927,-1.150932908,-1.508441091,-1.447080135,-1.229575992
-1.194654822,-1.409645319,-1.785483599,-0.83420229,-1.67290616,-0.972923279
-0.145389393,-0.378730357,-0.26641354,-0.173729807,-0.203850329,0.254009694
-1.17327714,-0.998445451,-0.756698847,-0.91298455,-1.387390733,-1.464890361
-1.07881093,-0.531442285,-0.270498693,-0.692049384,-0.929349244,-0.206795961
1.444894195,1.186404467,-0.365050614,1.677795053,0.750565767,0.333626032
0.666908205,0.863268733,0.941883624,0.850572765,0.910500646,1.015237093
1.73311007,1.86076653,1.325201988,1.223143578,1.847917438,1.462388992
-0.092976823,-0.111606687,-0.972584128,-0.267191708,0.313456208,0.476563722
-0.864106297,-0.705335677,-1.131379128,-0.05081046,-0.963570416,-0.923689842
-0.480606765,-0.600068271,-2.034077644,-1.423510432,-0.94033891,-0.951336086
-1.602183461,-1.799359441,-1.817376614,-2.152285099,-1.563011527,-1.956640244
1.708908081,1.670319676,1.343453646,1.696120858,1.501040101,1.342394352
1.354007602,0.576729536,-1.151186228,1.082423568,0.622537851,0.70407182
1.051517963,0.840325475,1.110385418,1.378267288,1.056424022,1.129290819
0.187061369,0.189581171,0.083182663,0.204640329,-0.335017145,0.58698386
1.192311883,0.910290778,1.161889791,0.771946728,0.838105559,1.072929502
-0.035407491,-0.0329143,-0.267155766,0.136262819,0.276932895,-0.238322094
-0.480606765,-0.958404481,-1.617245197,-0.334077597,-1.186537743,-0.964694977
-1.158849478,-0.520850062,-0.656428635,-0.313425303,-1.021580696,-0.652150869
-1.284346581,-1.791944146,-0.50562638,-2.281232595,-1.563011527,-1.924112439
0.259912491,1.45350337,0.566771448,0.445148885,0.798747361,0.575985312
0.47868219,0.115851626,0.170835972,0.314012408,0.598828971,-0.243808046
-0.993923426,-0.380564451,-0.174339622,-0.298121572,-0.725473285,-0.787026465
-1.370108247,-0.925010026,0.371830761,-1.040396094,-1.047949672,-1.132530332
-0.203338757,0.48545891,0.561403096,0.904138863,0.133667782,0.723347485
-0.659695029,-0.052202888,-0.668952644,-0.408734709,-1.260800362,-0.328649968
0.086544938,-0.416429967,0.232784986,0.567808211,0.098356642,-0.480029017
-0.659695029,-1.719502926,-2.06750989,-1.826899171,-1.927978277,-1.339936852
-0.943994403,-0.884026408,-0.988058925,-1.222556591,-1.183470845,-1.49730587
1.318143249,1.670409441,1.169522166,1.506209135,1.467703342,1.563216686
0.421002686,0.527473867,0.524631858,1.018268585,0.449879706,0.97710377
1.977507234,1.755630255,1.381302357,1.757416725,1.709999084,1.549987316
0.421651006,0.388550758,0.675702274,0.547131836,0.211933628,0.299853712
-0.371093899,-0.448235422,0.217267141,-0.766386211,-0.416192442,-0.117616765
-0.316063106,0.502344251,-0.45672074,-0.289059728,-0.395825952,-0.088463768
0.383064538,0.536282718,0.485464156,0.784644604,0.521090984,-0.181069866
0.645558715,0.901294231,0.882181823,1.026670456,1.434848905,-0.660230458
-0.782561779,-0.847473443,0.365160435,-0.5258044,-0.424311131,-0.445125788
0.478994995,0.927289665,1.325201988,1.080566168,1.053969502,1.166311741
0.869897187,0.901294231,0.264631718,1.026670456,1.493408203,0.74010855
-0.309849888,-0.1241927,0.368493199,-0.873311758,-0.503623307,-0.567770183
0.034662131,0.202324584,1.089375615,-0.271161288,0.895846069,0.961433291
-0.512428641,0.225326702,-0.925459146,1.349059939,-0.726646364,-0.042313021
-0.437426507,-0.215465322,0.011292184,-0.066545919,-0.121130094,0.01836968
0.111758478,-0.378730357,0.747216463,-0.173729807,0.509927452,0.423779756
-0.106926993,-0.104411051,-0.188686535,-0.102563486,0.221231312,-0.416846514
-0.424003124,-0.14402017,-1.304773092,-0.52015692,-0.805689931,-0.28148526
-1.500766754,-1.207593679,-1.934050202,-1.677948117,-1.580613971,-1.88991797
0.808773279,0.431657553,0.85437119,0.360743493,0.251412272,0.496299714
-0.278847158,-0.380564451,-0.071113177,-0.401735693,-0.863172948,-0.064157009
1.776123524,1.942934752,1.597493172,1.8410604,1.695256948,1.238105774
2.110245705,1.96848774,1.341992497,1.956304312,1.858393788,1.629558206
-0.56454438,-0.570219934,-0.51774317,-1.007552266,-0.747169495,0.053369619
-0.865590096,-1.169292927,0.026145848,-0.456693709,-0.672492206,0.094208039
-1.127326012,-1.965881228,-1.055657029,-0.968231022,-1.289722919,-1.55370152
-1.134002686,-0.640733182,-0.480376542,-0.348028451,-1.105971694,-1.306903243
1.908177853,2.105112553,1.456821561,1.531025887,1.923315287,1.56270957
0.414642155,-0.661215305,0.873983324,0.094098002,0.834794283,-0.713683128
-1.220030427,-0.518838644,-0.341404855,-0.648276091,-0.625289619,-1.154527545
-0.201105654,0.223578513,-0.459640145,0.645566702,-0.166979954,0.992628813
-0.433467239,-0.380564451,-0.77500689,-0.425952554,-0.435592055,-0.638316989
-1.166014671,-0.90946728,-0.459796816,-0.49286136,-0.663562596,-0.122391537
-0.65323174,0.034111183,-1.06168437,-0.886888802,-0.696724594,-0.52950269
-0.435451537,1.213186264,-0.481185794,0.015600059,0.074511446,0.257727921
0.707913816,0.681182623,0.830644667,0.724792421,0.767495036,1.593033314
1.371544838,1.290568113,1.286039114,1.050473452,1.286294818,1.497632861
