Country,Year,Poverty_Percentage
Argentina,1980,0.3
Colombia,1980,20.8
Spain,1980,0.5
United Kingdom,1980,0.0
Italy,1980,0.2
Madagascar,1980,48.7
United States,1980,0.5
Australia,1981,1.0
Brazil,1981,23.9
Canada,1981,0.7
Costa Rica,1981,25.9
East Asia & Pacific,1981,82.5
United Kingdom,1981,0.0
Italy,1981,0.0
Latin America & Caribbean,1981,15.4
Lower middle income,1981,52.6
Low & middle income,1981,58.2
South Asia,1981,58.9
Sweden,1981,0.2
Thailand,1981,22.7
Upper middle income,1981,62.4
Uruguay,1981,0.0
United States,1981,0.5
Venezuela,1981,6.7
World,1981,43.8
Brazil,1982,24.4
Canada,1982,0.7
Switzerland,1982,0.7
East Asia & Pacific,1982,80.7
United Kingdom,1982,0.0
High income,1982,0.9
Italy,1982,0.0
Latin America & Caribbean,1982,16.1
Lower middle income,1982,51.9
Low & middle income,1982,57.2
South Asia,1982,57.8
Upper middle income,1982,61.2
United States,1982,0.7
World,1982,43.2
Bangladesh,1983,37.3
Brazil,1983,30.6
East Asia & Pacific,1983,78.2
United Kingdom,1983,0.0
High income,1983,0.8
India,1983,56.6
Italy,1983,0.2
Latin America & Caribbean,1983,18.9
Lower middle income,1983,50.8
Low & middle income,1983,56.0
Netherlands,1983,0.5
South Asia,1983,56.0
Upper middle income,1983,59.8
United States,1983,0.5
World,1983,42.5
Brazil,1984,29.9
Canada,1984,0.7
East Asia & Pacific,1984,74.0
France,1984,0.5
United Kingdom,1984,0.0
High income,1984,0.8
Indonesia,1984,74.2
Italy,1984,0.0
Latin America & Caribbean,1984,18.5
Lower middle income,1984,50.0
Low & middle income,1984,54.0
Morocco,1984,13.2
Malaysia,1984,3.6
South Asia,1984,54.8
Upper middle income,1984,56.4
United States,1984,0.5
World,1984,41.1
Australia,1985,1.0
Belgium,1985,0.2
Bangladesh,1985,32.7
Brazil,1985,25.8
Botswana,1985,41.8
Canada,1985,0.5
Ivory Coast,1985,8.2
East Asia & Pacific,1985,70.5
Spain,1985,0.2
United Kingdom,1985,0.2
High income,1985,0.8
Latin America & Caribbean,1985,17.1
Sri Lanka,1985,16.9
Lower middle income,1985,49.2
Low & middle income,1985,52.0
Luxembourg,1985,0.0
Middle East & North Africa,1985,7.0
Nigeria,1985,47.8
South Asia,1985,53.6
Tunisia,1985,12.3
Upper middle income,1985,53.3
United States,1985,0.5
World,1985,39.7
Argentina,1986,1.1
Brazil,1986,12.3
Canada,1986,1.0
Ivory Coast,1986,4.4
Costa Rica,1986,13.9
Dominican Republic,1986,6.9
East Asia & Pacific,1986,67.7
United Kingdom,1986,0.2
Guatemala,1986,49.7
High income,1986,0.8
Iran,1986,9.1
Israel,1986,0.2
Italy,1986,0.2
Jordan,1986,0.0
Latin America & Caribbean,1986,12.3
Lower middle income,1986,48.4
Low & middle income,1986,50.1
Lesotho,1986,54.0
Luxembourg,1986,0.0
Middle East & North Africa,1986,7.2
Norway,1986,0.2
South Asia,1986,52.5
Upper middle income,1986,50.2
United States,1986,0.5
World,1986,38.4
Argentina,1987,1.2
Brazil,1987,19.9
Canada,1987,0.5
Chile,1987,15.4
Ivory Coast,1987,9.4
Denmark,1987,0.5
East Asia & Pacific,1987,64.0
Ecuador,1987,17.6
Finland,1987,0.0
United Kingdom,1987,0.0
Ghana,1987,58.4
High income,1987,0.7
Indonesia,1987,74.3
India,1987,50.9
Ireland,1987,0.7
Italy,1987,1.0
Latin America & Caribbean,1987,14.9
Lower middle income,1987,48.2
Low & middle income,1987,48.8
Luxembourg,1987,0.0
Middle East & North Africa,1987,7.5
Mauritania,1987,41.4
Malaysia,1987,2.9
Netherlands,1987,0.2
Pakistan,1987,67.3
