LE_at_birth,Access_to_Electricity,Gender Development Index,Human Development Index,Gender Inequality Index
78.394,92.4921875,0.98,0.73,0.439
77.27560976,100.0,0.961,0.844,0.184
71.97,99.9,0.942,0.829,0.204
54.154,14.29,0.658,0.394,0.725
80.013,100.0,0.963,0.809,0.405
76.19219512,100.0,0.958,0.856,0.179
78.81707317,67.0,0.887,0.6,0.555
59.473,10.1,0.962,0.588,0.578
71.56097561,100.0,0.974,0.713,0.362
54.658,33.83826828,0.84,0.512,0.545
77.59341463,98.9,0.983,0.789,0.187
73.574,98.75891113,0.928,0.715,0.643
68.813,100.0,0.955,0.495,0.531
76.789,100.0,0.915,0.719,0.247
71.89829268,100.0,0.936,0.868,0.483
75.15780488,99.4,0.988,0.838,0.09
67.625,72.39,0.897,0.583,0.46
69.37317073,100.0,0.999,0.729,0.389
75.22756098,100.0,1.003,0.909,0.104
75.011,100.0,0.982,0.799,0.584
75.3195122,100.0,0.946,0.835,0.172
71.89268293,100.0,0.921,0.769,0.285
79.60243902,100.0,0.99,0.743,0.332
77.99195122,100.0,0.983,0.893,0.164
63.537,48.9,0.86,0.532,0.64
75.025,100.0,0.957,0.743,0.213
79.42439024,100.0,0.916,0.793,0.264
77.0195122,100.0,0.943,0.783,0.206
79.03682927,100.0,0.952,0.849,0.161
70.093,97.85468292,0.813,0.625,0.4
74.216,100.0,0.931,0.68,0.584
69.682,100.0,0.94,0.646,0.416
75.35546341,100.0,0.989,0.694,0.149
68.292,99.07067871,0.908,0.633,0.509
66.977,100.0,0.961,0.644,0.475
77.0,100.0,0.942,0.852,0.122
76.453,100.0,1.015,0.811,0.376
78.81,100.0,0.978,0.845,0.129
74.899,100.0,0.962,0.713,0.278
76.918,100.0,0.966,0.711,0.251
69.78439024,100.0,0.948,0.689,0.504
70.88292683,100.0,0.964,0.69,0.355
72.04634146,99.91267395,0.9,0.747,0.09
78.53902439,100.0,0.971,0.764,0.414
50.213,26.91929436,0.757,0.342,0.727
74.81463415,100.0,1.03,0.746,0.323
77.51463415,100.0,0.942,0.853,0.238
46.316,5.6,0.795,0.331,0.681
69.29804878,100.0,1.013,0.723,0.369
48.195,100.0,0.958,0.739,0.647
77.687,100.0,0.97,0.809,0.285
76.989,100.0,0.988,0.873,0.296
50.368,12.75270271,0.835,0.408,0.66
72.43,92.82945251,0.975,0.735,0.436
77.37804878,100.0,0.97,0.869,0.111
75.81707317,100.0,0.944,0.835,0.201
57.635,16.6,0.679,0.413,0.721
72.915,99.99868774,0.966,0.727,0.405
76.35121951,100.0,0.962,0.835,0.19
69.979,72.22491455,0.939,0.608,0.558
58.348,9.398226738,0.965,0.457,0.572
71.49439024,100.0,0.979,0.686,0.361
54.481,32.69752502,0.84,0.446,0.706
77.83804878,100.0,0.984,0.868,0.188
74.135,94.560057,0.929,0.723,0.497
71.918,90.4,0.975,0.628,0.528
71.451,100.0,0.922,0.726,0.36
77.083,100.0,0.987,0.743,0.284
75.19414634,100.0,0.979,0.841,0.094
68.084,80.0,0.903,0.593,0.572
69.979,83.7,0.827,0.585,0.65
68.86341463,100.0,1.01,0.719,0.384
75.45536585,100.0,1.005,0.881,0.1
77.1,100.0,0.962,0.805,0.224
76.76585366,100.0,0.945,0.842,0.162
75.502,100.0,0.974,0.769,0.563
69.11707317,99.1,0.983,0.714,0.327
78.7602439,100.0,0.973,0.828,0.174
64.126,66.69656372,0.855,0.54,0.586
75.41509756,99.9,0.96,0.751,0.209
76.50487805,100.0,0.921,0.808,0.255
77.4195122,100.0,0.947,0.789,0.268
79.0802439,100.0,0.954,0.901,0.164
70.316,97.97486115,0.995,0.725,0.656
75.691,100.0,0.929,0.912,0.578
68.39609756,100.0,1.016,0.706,0.413
43.413,3.2,0.843,0.319,0.714
71.117,14.8,0.883,0.6,0.63
70.05853659,73.3,0.899,0.639,0.513
70.616,99.4,0.911,0.689,0.493
71.462,89.1,0.973,0.632,0.471
63.401,49.2,0.727,0.457,0.735
61.545,26.4,0.97,0.588,0.548
76.399,100.0,0.945,0.853,0.114
60.088,99.8,0.989,0.818,0.286
42.947,4.4,0.682,0.222,0.749
77.18439024,100.0,0.979,0.851,0.124
71.0902439,100.0,0.919,0.718,0.264
74.31219512,100.0,0.976,0.727,0.213
69.78439024,100.0,0.961,0.679,0.496
71.79512195,100.0,0.968,0.694,0.273
72.49756098,100.0,0.903,0.754,0.28
77.41,100.0,0.954,0.801,0.17
45.891,2.5,0.714,0.331,0.736
73.08,100.0,0.988,0.912,0.164
77.80609756,100.0,0.942,0.856,0.126
50.989,6.8,0.862,0.369,0.653
66.935,92.9,1.014,0.715,0.473
72.306,99.5,0.978,0.742,0.64
76.43414634,100.0,0.969,0.816,0.25
77.97317073,100.0,0.988,0.87,0.282
73.441,100.0,1.027,0.93,0.589
46.512,19.2,0.847,0.408,0.654
60.364,28.2,0.9,0.498,0.598
75.903,93.16604614,0.972,0.739,0.317
81.29268293,100.0,0.969,0.866,0.183
76.06829268,100.0,0.945,0.84,0.195
45.975,12.71788025,0.689,0.42,0.716
73.19,100.0,0.971,0.731,0.401
81.43902439,100.0,0.966,0.85,0.168
69.988,79.2,0.895,0.614,0.557
57.719,11.64207649,0.756,0.495,0.483
71.34682927,93.4,0.986,0.689,0.353
54.062,33.84919357,0.748,0.439,0.704
77.70487805,100.0,0.98,0.854,0.185
74.195,95.27372742,0.932,0.716,0.493
70.415,92.42799377,0.896,0.635,0.525
75.55,100.0,0.925,0.765,0.331
72.76780488,100.0,1.01,0.751,0.276
77.08780488,100.0,0.976,0.844,0.182
77.2902439,83.25549316,0.906,0.6,0.568
72.56585366,73.5,0.829,0.644,0.621
67.9097561,100.0,1.014,0.71,0.353
78.98780488,100.0,0.902,0.887,0.095
77.3,100.0,0.985,0.809,0.425
75.87073171,100.0,0.942,0.852,0.152
56.416,30.6,0.829,0.475,0.63
77.3902439,98.8,0.934,0.769,0.277
69.10121951,98.8,0.984,0.722,0.325
78.93463415,100.0,0.974,0.829,0.164
61.792,34.1,0.711,0.446,0.648
64.598,55.43,0.87,0.548,0.581
75.29219512,100.0,0.961,0.76,0.2
77.15365854,99.6,0.922,0.804,0.33
77.64878049,100.0,0.945,0.795,0.159
79.30365854,100.0,0.943,0.855,0.16
70.518,98.09436035,0.836,0.641,0.4
56.617,48.0,0.873,0.371,0.709
75.794,100.0,0.941,0.705,0.587
66.72268293,100.0,1.029,0.69,0.419
68.9104878,100.0,0.994,0.697,0.621
43.388,1.553555846,0.856,0.33,0.711
76.59934146,100.0,0.905,0.747,0.326
73.058,68.3,0.9,0.643,0.506
70.942,95.44846344,0.913,0.669,0.489
73.7,98.1,1.014,0.892,0.474
63.872,56.77265167,0.745,0.463,0.731
60.86,25.0527401,0.967,0.588,0.546
76.91658537,100.0,0.949,0.866,0.113
76.43414634,100.0,0.964,0.833,0.307
43.817,4.012139797,0.873,0.232,0.675
77.15170732,100.0,0.992,0.858,0.122
67.542,65.4,0.952,0.606,0.513
71.59512195,100.0,0.974,0.731,0.252
74.51219512,99.9,0.979,0.741,0.373
69.56341463,100.0,0.952,0.68,0.489
56.996,26.0,0.748,0.374,0.597
72.44878049,99.5,0.967,0.755,0.263
72.99756098,100.0,0.924,0.763,0.265
79.93902439,100.0,0.956,0.814,0.162
46.575,27.89725304,0.926,0.416,0.733
78.0604878,100.0,0.941,0.891,0.09
78.08536585,100.0,0.937,0.861,0.22
50.87,2.330187798,0.862,0.369,0.653
68.13073171,98.9,1.013,0.703,0.474
72.521,98.8,0.956,0.748,0.632
75.785,100.0,0.97,0.861,0.244
75.4195122,100.0,0.987,0.88,0.093
73.579,67.4,1.022,0.711,0.435
46.209,14.21320724,0.862,0.414,0.594
54.426,31.16366768,0.899,0.491,0.491
73.172,87.2,0.961,0.744,0.578
77.87804878,100.0,0.97,0.873,0.179
76.4195122,100.0,0.982,0.835,0.252
58.617,17.8,0.852,0.427,0.671
78.124,100.0,0.979,0.79,0.397
76.69170732,100.0,0.989,0.858,0.315
70.316,100.0,0.874,0.773,0.238
56.154,40.6,0.965,0.578,0.671
71.20878049,100.0,0.989,0.871,0.353
53.528,34.99950409,0.837,0.436,0.597
77.87170732,100.0,0.979,0.872,0.127
74.614,95.51807404,0.933,0.722,0.488
69.613,92.72196198,0.759,0.706,0.474
75.76,100.0,0.926,0.77,0.328
72.97268293,100.0,0.947,0.872,0.172
75.37512195,100.0,0.976,0.851,0.093
70.232,84.02422333,0.909,0.444,0.563
65.816,95.64853668,0.836,0.564,0.638
67.11,100.0,1.009,0.712,0.4
76.39560976,100.0,1.002,0.848,0.093
77.64878049,100.0,0.982,0.823,0.16
76.27073171,100.0,0.943,0.817,0.144
56.112,9.3,0.833,0.477,0.628
76.103,100.0,0.932,0.774,0.27
69.4697561,100.0,0.912,0.731,0.257
79.24707317,100.0,0.982,0.913,0.16
60.216,49.81130981,0.714,0.424,0.704
64.856,62.8,0.872,0.558,0.575
75.78712195,100.0,0.964,0.771,0.193
74.03658537,100.0,0.926,0.808,0.364
77.92195122,100.0,0.949,0.804,0.201
51.737,36.5,0.779,0.457,0.686
79.69682927,100.0,0.945,0.803,0.055
70.699,65.1,0.832,0.644,0.646
56.022,38.4,0.876,0.544,0.706
68.39,45.4,0.947,0.733,0.44
71.424,100.0,1.038,0.687,0.409
68.5302439,92.8,1.001,0.693,0.442
75.404,97.0,0.863,0.528,0.71
76.49985366,100.0,0.872,0.751,0.33
70.15853659,99.15496826,0.913,0.646,0.499
69.707,100.0,0.916,0.674,0.485
65.07,100.0,0.966,0.74,0.485
64.346,56.9,0.74,0.475,0.726
59.846,28.93258858,0.966,0.587,0.546
75.60731707,100.0,0.944,0.768,0.2
76.88292683,100.0,0.97,0.877,0.214
44.714,4.57177639,0.848,0.232,0.569
77.6897561,100.0,0.991,0.873,0.118
67.942,68.01855469,0.854,0.647,0.523
75.292,100.0,0.979,0.741,0.242
74.91463415,100.0,0.976,0.843,0.261
77.483,100.0,0.994,0.701,0.482
