LE_at_birth,Access_to_Electricity,Gender Development Index,Human Development Index,Gender Inequality Index
72.319,92.4921875,0.98,,0.439
77.27560976,,0.961,0.867,
75.61707317,100.0,,0.829,0.204
,14.29,,0.394,0.725
72.843,99.99343872,0.963,0.727,0.405
76.19219512,100.0,0.958,,0.179
70.248,67.0,,0.6,0.555
,10.1,0.962,0.588,
71.56097561,,,0.684,0.362
54.658,,0.84,,0.705
77.59341463,100.0,,0.864,0.189
,94.78162384,0.928,,0.506
68.813,91.83665466,0.955,0.619,0.531
73.716,100.0,0.915,0.719,0.355
71.89829268,100.0,,,
,100.0,0.978,0.838,
,78.2,0.897,0.583,
69.37317073,100.0,1.02,0.729,
75.22756098,100.0,,0.818,0.104
76.84878049,,0.982,0.799,0.228
75.3195122,,0.946,0.835,
77.13658537,100.0,0.921,0.769,0.296
69.37707317,100.0,0.976,,0.332
77.99195122,100.0,0.983,0.822,0.183
63.537,48.9,0.86,0.532,0.594
,100.0,0.957,0.743,0.213
76.75853659,100.0,,0.793,0.264
77.0195122,100.0,,0.783,0.206
79.03682927,,0.952,0.849,0.161
70.093,97.85468292,,0.625,
74.216,100.0,,0.68,0.584
69.03243902,100.0,,0.727,0.416
,100.0,0.882,,
69.95609756,,,0.633,0.509
66.977,100.0,0.961,0.644,
77.0,100.0,0.942,0.852,
76.03170732,,,0.811,0.237
,,0.978,0.845,
70.58780488,,0.974,,
74.01463415,100.0,0.971,0.711,0.251
69.78439024,,0.948,0.689,0.504
,,0.964,0.69,0.282
,99.91267395,,0.747,0.29
76.97121951,100.0,,0.764,0.181
50.213,26.91929436,0.757,,
,,,,0.1
77.51463415,,0.942,0.853,0.13
,,0.795,,0.66
,,1.013,0.723,
72.241,100.0,0.958,,0.647
,100.0,,,
75.36585366,100.0,0.988,0.873,
,,0.835,,0.66
72.43,92.82945251,0.975,0.735,
77.37804878,100.0,,0.869,0.184
75.81707317,100.0,,,0.201
,9.90541935,0.679,,0.721
72.915,99.99868774,0.966,0.727,0.405
,,0.962,0.835,0.175
69.979,72.22491455,0.891,,
58.348,9.398226738,0.965,,0.572
71.49439024,,0.979,0.686,0.361
,,0.84,,
,,0.984,0.868,0.188
,,0.929,0.723,
,92.13265991,,,
74.177,100.0,0.922,,0.36
72.27170732,100.0,0.954,,0.284
,100.0,0.979,,0.094
,82.48540497,0.903,0.593,0.572
65.031,,,,0.65
,100.0,,,0.384
,100.0,1.005,0.825,
,100.0,0.984,0.806,0.224
75.8195122,100.0,0.945,0.842,0.162
77.38292683,,0.927,0.769,0.287
69.11707317,,0.983,0.714,0.327
78.7602439,100.0,,0.828,
64.126,66.69656372,0.865,,0.586
75.41509756,100.0,,0.751,0.209
76.50487805,100.0,,0.797,0.255
,100.0,0.944,0.789,0.205
,100.0,,0.85,0.164
70.316,97.97486115,,,0.656
,,0.929,0.678,
68.39609756,100.0,,0.706,0.413
43.413,,0.843,,0.714
75.27712195,100.0,0.883,0.737,0.33
,99.09967804,0.899,0.639,0.513
70.616,93.145981,0.911,0.667,0.493
66.96,,0.973,0.632,0.471
63.401,49.2,0.727,0.457,
61.545,26.4,,0.588,0.548
77.21707317,100.0,,0.853,0.114
,100.0,0.964,,
42.947,4.4,0.682,0.222,0.795
77.18439024,,0.979,,0.127
71.0902439,100.0,0.975,0.718,
,,,0.727,0.241
69.78439024,100.0,0.951,0.679,0.496
71.79512195,,,,
72.49756098,99.94221497,0.903,0.754,0.28
77.41,,,0.772,0.17
45.891,27.4086132,,,0.736
,,0.988,,0.094
77.80609756,,0.942,0.856,0.126
,6.8,,,0.654
68.77097561,,1.014,0.715,0.473
,100.0,0.957,,
76.43414634,,0.969,0.816,
,100.0,,0.878,0.295
73.441,96.18231201,1.027,0.708,0.432
46.512,19.2,0.847,,0.654
,28.2,,0.498,
,93.16604614,0.972,0.739,0.43
77.87804878,100.0,0.969,0.873,0.181
76.06829268,100.0,,0.84,
57.927,12.71788025,0.689,0.42,
73.19,,0.971,,0.401
,,0.966,0.85,0.168
,73.12332916,0.895,0.614,
57.719,11.64207649,0.958,0.588,0.568
,,0.986,0.689,0.353
54.062,,,,
77.70487805,,0.98,,
74.195,95.27372742,0.932,0.716,
69.342,92.42799377,0.976,,0.525
,100.0,0.925,,
72.76780488,,0.948,0.751,
,,0.976,0.844,0.091
68.472,83.25549316,0.906,0.6,
65.468,95.39224243,0.829,0.591,0.646
67.9097561,100.0,1.014,,0.385
75.70512195,100.0,,,
77.3,,,0.809,0.21
75.87073171,100.0,0.942,0.852,
,,0.829,0.475,
,100.0,,,
69.10121951,,0.984,,0.325
,100.0,0.974,,0.164
59.815,50.9,0.711,,0.706
,55.43,0.87,,0.581
,100.0,,,0.2
77.15365854,100.0,0.922,,0.248
,100.0,0.945,0.795,0.206
,100.0,0.943,,0.16
70.518,98.09436035,0.836,,0.65
56.617,,0.873,0.471,0.708
75.794,100.0,0.941,0.705,0.587
66.72268293,,,,0.419
68.9104878,100.0,0.994,,0.325
43.388,1.553555846,,,0.711
76.59934146,100.0,,0.747,0.326
70.10731707,99.12800598,0.9,,0.506
70.942,95.44846344,0.913,,0.489
66.543,100.0,,0.634,0.474
63.872,56.77265167,,0.463,0.731
60.86,27.0,,0.588,0.546
76.91658537,100.0,0.949,,0.113
76.43414634,100.0,0.964,0.833,0.223
,4.012139797,0.69,,0.795
77.15170732,,0.977,0.858,0.122
,65.4,0.952,,0.513
,100.0,0.974,0.731,0.252
74.51219512,100.0,,0.741,0.239
,100.0,0.952,0.68,
56.996,26.0,0.748,,
72.44878049,,0.967,,0.263
72.99756098,,,0.763,0.265
77.54658537,100.0,0.956,0.781,
,27.89725304,,,
78.0604878,,,0.84,0.09
,,,0.861,0.12
50.87,2.330187798,0.862,0.369,0.653
68.13073171,100.0,,,0.474
72.521,100.0,,,0.632
76.38536585,100.0,,0.82,0.244
75.4195122,,0.987,0.88,0.294
,,1.022,,0.435
,,0.862,0.414,0.651
54.426,31.16366768,0.899,0.491,0.596
73.172,93.50127411,,0.744,0.429
77.87804878,,0.97,0.873,0.179
,100.0,0.949,0.845,
,17.8,,,0.712
73.211,100.0,0.979,0.736,
,100.0,0.966,,0.162
,74.02038574,0.901,,0.553
56.154,,0.965,0.578,0.564
71.20878049,,0.989,0.691,0.353
53.528,,0.837,,0.703
77.87170732,100.0,0.979,0.872,
74.614,95.51807404,0.933,0.722,0.488
69.613,92.72196198,0.976,,0.519
74.72,100.0,0.926,0.77,0.331
,100.0,0.947,0.762,0.249
75.37512195,100.0,0.976,0.851,0.093
,84.02422333,0.909,,0.563
,95.64853668,0.836,,0.638
,,,0.712,0.4
76.39560976,100.0,1.002,,
77.64878049,100.0,0.982,0.823,
76.27073171,100.0,,0.858,0.144
,,,,
77.63902439,100.0,0.932,,0.27
,,0.986,0.731,0.319
79.24707317,100.0,0.982,0.835,
60.216,,0.714,0.452,0.704
64.856,62.8,0.872,,0.575
75.78712195,100.0,0.964,0.771,0.193
,100.0,0.926,,0.244
77.92195122,100.0,0.949,0.804,0.201
51.737,36.5,0.779,0.436,
79.69682927,100.0,0.945,0.861,0.161
70.699,98.21250153,0.832,0.644,0.646
56.273,3.473436832,0.876,,0.706
75.763,100.0,0.947,0.733,0.593
65.66439024,,,0.687,0.409
,100.0,1.001,0.693,0.328
43.561,2.013661385,0.863,0.326,0.71
,100.0,0.884,,0.312
70.15853659,99.15496826,0.901,0.646,0.499
71.279,95.238294,0.916,,
65.07,100.0,,0.614,0.485
,58.60889816,0.74,,0.726
59.846,28.93258858,,,0.546
,100.0,,0.881,0.107
76.88292683,100.0,0.97,0.846,
,4.57177639,0.697,0.232,0.795
77.6897561,100.0,,0.873,0.118
,,0.95,0.609,0.508
,100.0,0.979,0.741,0.242
74.91463415,100.0,0.976,,0.228
69.5097561,,,,0.482
56.955,27.19048691,,,0.671
72.3,100.0,0.966,0.711,
73.39756098,99.98912048,,0.773,0.256
,100.0,,,0.151
56.644,28.38453484,,0.383,0.727
,100.0,0.995,,0.083
78.35,,0.938,,0.113
50.797,3.300647259,0.867,0.369,0.652
71.615,86.8,0.807,0.604,
46.353,,0.824,,0.655
67.54121951,100.0,1.013,0.689,0.474
72.598,,0.959,0.755,0.635
76.88536585,100.0,0.971,0.828,
75.6195122,100.0,0.988,0.884,
,96.54244995,1.019,0.716,0.434
45.854,14.94175911,,0.411,0.647
,,,0.486,0.595
73.133,,0.963,0.745,0.426
77.82926829,,0.97,0.882,
,100.0,0.952,0.849,0.17
59.467,,,,0.708
,100.0,0.986,0.739,
,100.0,0.969,0.865,0.159
