LE_at_birth,Access_to_Electricity,Gender Development Index,Human Development Index,Gender Inequality Index
72.319,92.4921875,0.98,0.73,0.439
77.27560976,100.0,0.961,0.867,0.184
75.61707317,100.0,0.942,0.829,0.204
54.154,14.29,0.658,0.394,0.725
72.843,99.99343872,0.963,0.727,0.405
76.19219512,100.0,0.958,0.819,0.179
70.248,67.0,0.887,0.6,0.555
59.473,10.1,0.962,0.588,0.578
71.56097561,100.0,0.974,0.684,0.362
54.658,29.0,0.84,0.449,0.705
77.59341463,100.0,0.983,0.864,0.189
73.574,94.78162384,0.928,0.715,0.506
68.813,91.83665466,0.955,0.619,0.531
73.716,100.0,0.915,0.719,0.355
71.89829268,100.0,0.936,0.742,0.293
75.15780488,100.0,0.978,0.838,0.09
67.625,78.2,0.897,0.583,0.576
69.37317073,100.0,1.02,0.729,0.389
75.22756098,100.0,1.003,0.818,0.104
76.84878049,100.0,0.982,0.799,0.228
75.3195122,100.0,0.946,0.835,0.172
77.13658537,100.0,0.921,0.769,0.296
69.37707317,100.0,0.976,0.715,0.332
77.99195122,100.0,0.983,0.822,0.183
63.537,48.9,0.86,0.532,0.594
75.025,100.0,0.957,0.743,0.213
76.75853659,100.0,0.916,0.793,0.264
77.0195122,100.0,0.943,0.783,0.206
79.03682927,100.0,0.952,0.849,0.161
70.093,97.85468292,0.813,0.625,0.664
74.216,100.0,0.931,0.68,0.584
69.03243902,100.0,1.012,0.727,0.416
75.35546341,100.0,0.882,0.733,0.327
69.95609756,99.07067871,0.899,0.633,0.509
66.977,100.0,0.961,0.644,0.475
77.0,100.0,0.942,0.852,0.122
76.03170732,100.0,0.959,0.811,0.237
76.98073171,100.0,0.978,0.845,0.129
70.58780488,100.0,0.974,0.713,0.278
74.01463415,100.0,0.971,0.711,0.251
69.78439024,100.0,0.948,0.689,0.504
70.88292683,100.0,0.964,0.69,0.282
72.04634146,99.91267395,0.9,0.747,0.29
76.97121951,100.0,0.948,0.764,0.181
50.213,26.91929436,0.757,0.342,0.741
77.66682927,100.0,0.987,0.813,0.1
77.51463415,100.0,0.942,0.853,0.13
46.316,5.6,0.795,0.331,0.66
69.29804878,100.0,1.013,0.723,0.472
72.241,100.0,0.958,0.739,0.647
76.08292683,100.0,0.97,0.809,0.254
75.36585366,100.0,0.988,0.873,0.296
47.097,12.75270271,0.835,0.408,0.66
72.43,92.82945251,0.975,0.735,0.436
77.37804878,100.0,0.97,0.869,0.184
75.81707317,100.0,0.944,0.835,0.201
57.635,9.90541935,0.679,0.413,0.721
72.915,99.99868774,0.966,0.727,0.405
76.35121951,100.0,0.962,0.835,0.175
69.979,72.22491455,0.891,0.608,0.558
58.348,9.398226738,0.965,0.586,0.572
71.49439024,100.0,0.979,0.686,0.361
54.481,32.69752502,0.84,0.446,0.704
77.83804878,100.0,0.984,0.868,0.188
74.135,94.560057,0.929,0.723,0.497
69.038,92.13265991,0.975,0.628,0.528
74.177,100.0,0.922,0.726,0.36
72.27170732,100.0,0.954,0.743,0.284
75.19414634,100.0,0.979,0.841,0.094
68.084,82.48540497,0.903,0.593,0.572
65.031,93.4,0.827,0.585,0.65
68.86341463,100.0,1.01,0.719,0.384
75.45536585,100.0,1.005,0.825,0.1
77.1,100.0,0.984,0.806,0.224
75.8195122,100.0,0.945,0.842,0.162
77.38292683,100.0,0.927,0.769,0.287
69.11707317,100.0,0.983,0.714,0.327
78.7602439,100.0,0.973,0.828,0.174
64.126,66.69656372,0.865,0.54,0.586
75.41509756,100.0,0.96,0.751,0.209
76.50487805,100.0,0.921,0.797,0.255
77.4195122,100.0,0.944,0.789,0.205
79.0802439,100.0,0.954,0.85,0.164
70.316,97.97486115,0.828,0.637,0.656
75.691,100.0,0.929,0.678,0.578
68.39609756,100.0,1.016,0.706,0.413
43.413,3.2,0.843,0.319,0.714
75.27712195,100.0,0.883,0.737,0.33
70.05853659,99.09967804,0.899,0.639,0.513
70.616,93.145981,0.911,0.667,0.493
66.96,100.0,0.973,0.632,0.471
63.401,49.2,0.727,0.457,0.735
61.545,26.4,0.97,0.588,0.548
77.21707317,100.0,0.945,0.853,0.114
76.12439024,100.0,0.964,0.818,0.225
42.947,4.4,0.682,0.222,0.795
77.18439024,100.0,0.979,0.851,0.127
71.0902439,100.0,0.975,0.718,0.264
74.31219512,100.0,0.976,0.727,0.241
69.78439024,100.0,0.951,0.679,0.496
71.79512195,100.0,0.968,0.694,0.273
72.49756098,99.94221497,0.903,0.754,0.28
77.41,100.0,0.954,0.772,0.17
45.891,27.4086132,0.791,0.331,0.736
77.99878049,100.0,0.988,0.82,0.094
77.80609756,100.0,0.942,0.856,0.126
50.989,6.8,0.862,0.369,0.654
68.77097561,100.0,1.014,0.715,0.473
72.306,100.0,0.957,0.742,0.64
76.43414634,100.0,0.969,0.816,0.25
75.61707317,100.0,0.988,0.878,0.295
73.441,96.18231201,1.027,0.708,0.432
46.512,19.2,0.847,0.408,0.654
56.435,28.2,0.9,0.498,0.598
72.565,93.16604614,0.972,0.739,0.43
77.87804878,100.0,0.969,0.873,0.181
76.06829268,100.0,0.945,0.84,0.195
57.927,12.71788025,0.689,0.42,0.716
73.19,100.0,0.971,0.731,0.401
76.34536585,100.0,0.966,0.85,0.168
69.988,73.12332916,0.895,0.614,0.557
57.719,11.64207649,0.958,0.588,0.568
71.34682927,100.0,0.986,0.689,0.353
54.062,33.84919357,0.837,0.439,0.704
77.70487805,100.0,0.98,0.866,0.185
74.195,95.27372742,0.932,0.716,0.493
69.342,92.42799377,0.976,0.635,0.525
74.65,100.0,0.925,0.765,0.331
72.76780488,100.0,0.948,0.751,0.276
75.11682927,100.0,0.976,0.844,0.091
68.472,83.25549316,0.906,0.6,0.568
65.468,95.39224243,0.829,0.591,0.646
67.9097561,100.0,1.014,0.71,0.385
75.70512195,100.0,1.001,0.829,0.095
77.3,100.0,0.985,0.809,0.21
75.87073171,100.0,0.942,0.852,0.152
56.416,30.6,0.829,0.475,0.63
77.3902439,100.0,0.934,0.769,0.277
69.10121951,100.0,0.984,0.722,0.325
78.93463415,100.0,0.974,0.829,0.164
59.815,50.9,0.711,0.446,0.706
64.598,55.43,0.87,0.548,0.581
75.29219512,100.0,0.961,0.76,0.2
77.15365854,100.0,0.922,0.804,0.248
77.72195122,100.0,0.945,0.795,0.206
79.30365854,100.0,0.943,0.855,0.16
70.518,98.09436035,0.836,0.641,0.65
56.617,10.9,0.873,0.471,0.708
75.794,100.0,0.941,0.705,0.587
66.72268293,100.0,1.029,0.69,0.419
68.9104878,100.0,0.994,0.697,0.325
43.388,1.553555846,0.856,0.327,0.711
76.59934146,100.0,0.893,0.747,0.326
70.10731707,99.12800598,0.9,0.643,0.506
70.942,95.44846344,0.913,0.669,0.489
66.543,100.0,0.968,0.634,0.474
63.872,56.77265167,0.731,0.463,0.731
60.86,27.0,0.967,0.588,0.546
76.91658537,100.0,0.949,0.855,0.113
76.43414634,100.0,0.964,0.833,0.223
43.817,4.012139797,0.69,0.227,0.795
77.15170732,100.0,0.977,0.858,0.122
67.542,65.4,0.952,0.606,0.513
71.59512195,100.0,0.974,0.731,0.252
74.51219512,100.0,0.979,0.741,0.239
69.56341463,100.0,0.952,0.68,0.489
56.996,26.0,0.748,0.374,0.673
72.44878049,100.0,0.967,0.701,0.263
72.99756098,99.96943665,0.924,0.763,0.265
77.54658537,100.0,0.956,0.781,0.162
46.575,27.89725304,0.799,0.34,0.733
78.0604878,100.0,1.003,0.84,0.09
78.08536585,100.0,0.937,0.861,0.12
50.87,2.330187798,0.862,0.369,0.653
68.13073171,100.0,1.013,0.703,0.474
72.521,100.0,0.956,0.748,0.632
76.38536585,100.0,0.97,0.82,0.244
75.4195122,100.0,0.987,0.88,0.294
73.579,96.36306,1.022,0.711,0.435
46.209,14.21320724,0.862,0.414,0.651
54.426,31.16366768,0.899,0.491,0.596
73.172,93.50127411,0.961,0.744,0.429
77.87804878,100.0,0.97,0.873,0.179
76.4195122,100.0,0.949,0.845,0.18
58.617,17.8,0.701,0.427,0.712
73.211,100.0,0.979,0.736,0.397
76.69170732,100.0,0.966,0.858,0.162
70.316,74.02038574,0.901,0.618,0.553
56.154,13.88456631,0.965,0.578,0.564
71.20878049,100.0,0.989,0.691,0.353
53.528,34.99950409,0.837,0.436,0.703
77.87170732,100.0,0.979,0.872,0.185
74.614,95.51807404,0.933,0.722,0.488
69.613,92.72196198,0.976,0.64,0.519
74.72,100.0,0.926,0.77,0.331
72.97268293,100.0,0.947,0.762,0.249
75.37512195,100.0,0.976,0.851,0.093
68.792,84.02422333,0.909,0.607,0.563
65.816,95.64853668,0.836,0.598,0.638
66.5,100.0,1.025,0.712,0.4
76.39560976,100.0,1.002,0.841,0.093
77.64878049,100.0,0.982,0.823,0.202
76.27073171,100.0,0.943,0.858,0.144
56.112,30.36940575,0.833,0.477,0.628
77.63902439,100.0,0.932,0.774,0.27
69.4697561,100.0,0.986,0.731,0.319
