Carbon_dioxide_emissions,Electricity_production_non_renewable,Electricity production_renewable,Micro_air_pollution,Greenhouse_emission
,,,22.70311049,-21.51916292
-64.42970184,,0,22.4828964,
,6.092377444,0,,-46.23980304
,4.313625983,0,22.14201178,
-68.83894455,,0,22.01373098,-43.32267041
,4.279505182,0,,
-76.21325631,3.825554705,0,21.97760117,
,,0,22.0593889,-49.7204234
-53.64503415,,0,22.1657501,-39.21527832
-51.4201041,3.850983675,0,22.26518857,-37.38611046
-48.25044378,4.691689008,0,22.36600621,-35.73032344
-39.7177844,6.046013911,0,22.48278512,-30.28009675
,,,,-28.61130616
,,0,22.67592295,-26.7812714
-37.57860216,1.286055484,,,-30.30437006
,1.683562636,,22.5109696,
-36.1314198,2.517482517,0,,-30.2904996
-36.87908054,0,0,,-32.16474647
,0.019223376,0,21.01104291,-32.35893301
,0.013213531,0,,
-25.37082167,,0,,
,,0,20.96272041,
,0,0,,-26.44838019
-23.24818726,0,0,19.36794422,-22.18754605
,0,0,19.12155731,-23.5806611
6.021206803,98.31075238,0,22.73088781,2.180182045
17.65417776,,0,23.1553408,8.507617888
18.08011001,98.18172453,0,,
14.3078196,99.16511593,0,,
18.04816141,,,,16.91433569
16.41083249,99.34637358,0,25.41090842,17.81942039
14.12157546,99.65111411,0,26.335955,
,99.07574585,0,27.25214078,12.75556613
,,0,27.95326031,17.31471434
23.05996914,99.78750197,0,28.23310812,23.20852661
20.68988363,,,28.13193067,15.38314955
27.31752491,99.79383681,0,27.8679443,
36.7924195,99.10385175,0,27.50189844,
36.15712822,99.1968,0,27.09454247,23.71576886
,98.36355595,0,26.70662581,29.09836318
,,0,26.33557009,35.18856045
,99.39240779,,,34.36086448
62.86365457,99.29664977,0,25.47990961,40.15727252
,99.20521545,0,24.97203955,37.7699437
71.32075805,99.61953907,0,,43.35235035
,,,23.57210779,
102.10051,98.91631967,0,24.39681643,59.088376
108.3958564,,0,22.38026402,60.98642167
,,0,24.11112295,70.9777917
,,0.111921858,,
,,0,,
,11.29883844,0,23.12946351,-2.884400835
,6.315789474,,22.89532855,8.064765283
2.382892779,,,,39.96052293
15.41705053,6.25,,,61.17372772
39.62688683,,0,22.75995361,92.71733844
,,0,22.92253538,
51.7167458,19.57511381,,23.1346577,115.8978173
60.54053575,,0,23.34677511,118.0979489
47.07940614,36.88581315,0,23.50934209,104.4262952
44.24030898,,0,23.65268219,98.25042195
41.95485791,35.2407932,,23.82000908,94.67431416
54.47523209,37.79448622,0,,95.39434162
57.7120686,,,24.10578197,112.9104328
,20.35175879,,24.16380738,110.3552936
,19.38898972,,24.17293161,90.40707155
,22.3811004,0,24.17419013,
72.6401389,,0,24.17231148,100.3684527
,,0,,103.6027119
,32.04257662,0,24.17805672,123.5057356
111.3120969,,0,24.33794017,119.3886775
114.178655,39.2005158,,24.4804929,
146.3751683,41.97906524,,,
169.1623556,46.82489451,,23.94558364,143.6896759
188.7499114,,0,25.00215026,157.7755528
5.355786504,55.09949089,0.186487142,19.01303052,1.53241752
7.280200459,,,,
11.22216462,48.47992724,0.173769001,18.98317939,
14.70568141,44.63236548,,18.91247054,5.560063251
,49.24270686,,18.81257498,6.722426708
26.71443039,55.89644979,0.520908073,,9.677452517
30.92073271,,,,11.61780905
38.00682396,53.53996649,0.67286386,18.02824245,13.49141954
39.9357591,63.87463184,0.709607665,,16.35472189
,59.89315038,0.796310876,,15.61465184
31.10429251,50.33679188,,17.18387377,14.01750627
23.46822517,49.54353309,1.114229216,,
34.78965474,53.82701293,1.210474845,,22.43401832
49.63137335,,1.244945839,16.34266265,
53.49265962,59.95961741,1.291105402,16.01939943,
,55.67564027,1.61693288,15.58776752,
72.11619224,,1.57147512,,
,67.62853196,1.330548337,14.50436528,
64.15841803,,1.149943815,14.09275635,
76.22503808,,1.772271142,,
,62.776427,1.663386207,14.23893067,
,,,13.35716185,
92.54106234,64.05254605,,,40.21793553
88.67244172,64.25706881,,13.95005931,
94.66702032,66.93502211,1.898494036,14.62455147,42.81836586
4.174290332,83.75367802,0,,2.396496089
-47.00189763,66.1928032,0,28.16735244,-42.85032891
,31.80301827,0,28.12458845,
-86.37058535,,0,28.07238855,-78.59826961
-82.8136299,60.02517533,0,28.01257415,-75.77456844
-87.41015399,37.3028645,,,-79.70444044
-83.79787136,50.29026373,0,27.79285462,-76.75631061
,49.50734938,0,27.65913213,
-84.93450523,42.66223544,0,27.55075018,
,45.1829473,,,
-82.3666445,,0,,-75.43570771
-84.94857969,28.61025548,,27.48480266,
,27.64951827,0,,-75.2963476
-81.75658952,,0,,-73.31668754
-78.34231996,28.93778692,0,,-70.19643139
-78.4248254,24.84430231,0,28.40405947,-70.31297957
-74.98628954,25.24584605,0.0508647,29.22198605,-67.13507146
,,,30.45475588,
-78.15158677,20.34914477,0.070534297,,
-79.13679889,22.15375135,0.107841627,34.44701668,-71.58007814
-76.20106092,32.16689098,0.040376851,,-68.97951904
,42.29716277,0.049776008,43.28961483,-65.36611061
,41.15434501,0.051880674,,-65.32629344
-73.44198168,,0.051612903,38.63923761,-65.00360843
,35.91486088,0.051288627,,
0.764245228,89.40179895,0.491260796,7.66990742,0.638212698
1.976323369,,0.421049986,7.594672167,0.9840691
3.429742108,,,7.531229825,1.658415722
,,,7.480797335,2.851952086
9.065279565,90.37585718,,,4.536756523
,90.77027218,0.538146947,7.431973902,
16.17090233,90.41232427,0.544909885,,10.33752151
23.29203728,91.56594998,,7.458971185,15.17881037
25.50796965,91.45594641,0.586857342,7.46913241,
,,0.586093851,7.457432827,
,,0.712995786,7.388953462,20.8404707
32.95128888,92.13908118,,,22.7279098
32.72286307,91.55930113,1.063077439,7.131202273,20.74610641
37.68542462,91.81334981,1.127455491,7.02516379,25.22645021
38.46153846,91.19629336,2.099436384,6.989838942,
,90.70069223,,7.048149504,27.09459599
44.44050828,91.35192753,,,28.9579896
45.74493798,,,7.300822705,
47.79377175,92.50206574,2.740885548,7.408261246,30.51382878
49.7216827,,,,31.65261677
48.84192588,,3.827385618,7.320706635,
,89.40734664,5.007008936,,33.05544521
46.27044,,5.984672764,7.43314062,30.59772518
,85.09328779,7.500886153,7.387603021,28.04853158
45.23249505,,,7.18466162,
6.404092072,34.83987964,2.403300054,23.2910321,
-1.701457395,,,23.14053746,
-1.615069216,25.81417531,2.61431547,22.92228554,
-0.738846263,29.08407054,2.279748997,22.65129991,
4.052449965,29.36315198,3.329225416,22.34260414,
,,2.93799231,21.84105484,7.074367334
,31.81108018,3.078028194,,6.111702088
10.66958957,,3.341083885,20.28517002,6.345950222
,,2.752186394,19.57833559,3.83616634
,,2.670608277,19.15057389,4.00457441
16.04221979,30.45343639,,18.94706626,10.0110061
,30.590057,2.747669094,18.77850993,
,38.79202024,3.611201955,18.61692924,
28.97267893,,4.858913928,18.43434851,
,35.90801247,6.103555755,,18.88835933
26.20582146,33.81177151,,,15.81807506
21.63715341,30.61007537,9.894486315,17.23162298,11.98903321
,30.02680965,9.831238668,16.63931587,11.26798625
10.27142451,27.91784788,9.471319139,16.17461603,2.621564586
19.48361953,32.86866665,9.740336209,,10.20312151
16.84439573,33.38097379,,,7.992688805
,,,14.71990119,3.981972598
,20.83501162,,14.6599487,4.813449061
6.972110583,17.72104648,,12.95414547,0.30057954
,22.22204232,16.49369364,13.59996354,1.502037848
-2.640003823,92.50319829,0,19.8908556,-3.381871575
-20.72876235,91.16024895,,20.31036942,
,87.26576033,0,,
-38.06457304,89.59080303,0,20.82777576,-35.11012427
-39.93453746,90.87068763,0,20.91473853,-36.72169896
-49.67360621,90.99900509,0,20.83948072,-44.24825413
-51.05085568,89.83131385,0,,-44.96923683
-51.00895378,89.15990666,0,,-44.37030405
,91.71434859,0,20.00107463,-43.26841672
-48.72511615,91.79635275,0,19.77333822,
-51.18207481,93.14180285,,19.59448026,-41.95595029
,89.19843859,,19.41070059,
-46.96836039,88.40082683,0,19.2603464,-37.92300254
-47.53440367,87.32983812,,19.18176491,-37.92758658
-44.24253117,86.84417629,0,19.21330331,-33.4475522
,89.74045553,0,19.43435503,-31.13805823
-48.68707363,,,,-28.30899259
,,,20.67275929,-19.88769115
-52.66334392,,0.010599958,21.73429513,-29.26906135
,81.57669695,0.005344735,23.12017567,-30.34229846
-48.89584804,86.8138366,0,,-26.32868961
,92.07847573,0,,-21.25731476
,,0.295452599,,
-39.43391996,94.01892591,0.372047881,,
-40.33260556,92.59154245,0.409105638,,
-3.57083222,100,0,67.14326766,
13.51188886,100,0,,12.94000483
22.80006011,100,,65.22661342,
25.07430537,100,0,64.74788702,20.38340265
27.1072669,,0,64.58508349,20.02574105
31.70668581,100,,64.84243184,24.62008794
35.58809778,100,,65.52672467,
43.72578814,,0,,21.9781565
44.49388859,,0,,29.07348771
48.20999199,100,0,68.6511426,
53.48233369,100,0,70.0596873,34.80103626
,100,0,,33.44648807
65.94559845,,0,73.87990835,32.46018905
66.15181672,100,,75.37148836,
94.95224419,100,0,75.97065049,
112.3104796,100,0,,50.70688623
115.6734237,100,0,71.51083505,54.8363723
,100,,67.76087069,67.259571
130.733202,100,0,,69.30363518
140.5824205,100,0,63.3015307,71.05124718
141.9800294,100,0,66.7273264,
152.1197903,100,0,,84.93652416
168.0829215,100,0,68.14470192,
177.8578346,100,,59.14997351,107.6482013
179.305537,100,,71.55949784,
-4.973236622,89.86698912,0,,
6.332369013,91.05014617,0,52.82396634,-0.016299697
12.33071989,93.39561156,0,52.7113363,-0.381899043
21.37855855,,0,52.64104825,1.130755741
48.14123796,96.55746807,0,52.61241968,4.898916857
,93.55935158,,,
62.20633656,93.9365829,0,52.71360444,6.652135153
,,,,6.183232902
77.3901863,94.23529412,0,53.00758283,10.75043662
85.11522927,95.25077674,,,12.11389199
,,0,53.53715577,
135.942588,95.98714171,,53.99898917,20.17795266
147.1084371,96.20028409,0,54.44165602,
,96.96552283,0,,23.95605087
177.9226587,97.16792075,0,54.6647871,28.34188472
198.803684,97.46368223,0,,32.4981645
215.8462958,97.5842606,,50.07523823,36.14164723
,97.22368344,,46.43595425,44.29356898
275.4531606,,,43.4177843,48.09461545
316.1265076,,,42.1588187,
343.0191606,98.02504926,0,52.29511106,
,98.39998353,,65.16383893,61.92433652
,98.05346386,0.263554217,64.3758949,65.71179991
,,0.26680992,68.32836451,70.18263525
491.4028762,98.7731101,,64.10842952,77.33620055
-3.602449231,99.9535304,0,32.24505794,-3.470270097
-12.78202145,99.95478122,0,31.637417,
-24.72735546,,0,,-22.21188091
,,0,30.5108852,-32.12112134
-42.7698743,99.91973674,0,30.00607905,-38.42542838
-41.90748364,99.93256912,0,29.56666311,
-41.44063698,99.91940745,0,29.17775965,
,99.88081049,,28.78799001,
-44.8258464,,0,28.34597554,
,99.89655569,0,,
-48.03475075,,0,26.82516929,-44.24445314
,99.87526459,0,25.37088644,-44.28669902
-47.23699893,,,,-43.85355149
-44.04837156,99.87824415,,22.47739871,-40.93473193
,99.86757534,0.00322987,21.76440462,-40.8251544
-40.93666346,99.8679702,0.0094307,,
,99.81777624,,21.44929307,
-38.63413083,99.76318192,0.097009815,21.36451639,
-41.59466592,,0.200816434,21.2205485,-36.01014192
-37.30689265,,,20.93660644,-32.2214644
-40.31359834,99.48136646,0.298136646,,-24.93037792
-39.09288573,99.27595052,0.327932725,18.06753962,-23.59552441
-38.92790913,98.98117879,0.406258927,18.97352489,-23.19822407
-39.36191278,99.09601267,,19.39747138,-23.61043044
-43.8224688,98.92905346,0.501731119,17.60592812,-26.90430035
3.387140506,,,22.97207419,2.789721966
,37.43873407,0.38650049,22.75375966,1.267278604
,38.54113147,0.36107781,22.49489724,-0.126286593
,,0.356036501,22.20243151,
5.70588022,,,21.88330707,5.832857628
,40.59996274,0.428544811,21.4791053,9.526828021
,,0.363468232,20.97112415,6.930353259
10.0127279,42.04203472,0.450807189,20.42588306,9.538805285
6.307303603,,,,
7.910466062,39.63128073,,19.48969892,7.708104966
8.743219415,38.42377064,,,7.840135042
2.318307967,38.91819766,0.961217707,18.59226938,2.396153267
6.530603081,40.95690573,,,5.023166551
5.28302734,,1.398883264,17.70163525,4.256761726
,40.93152411,2.121130803,17.4468796,
0.281930703,39.85275288,3.074168919,17.330608,-0.382642072
