LE_at_birth,Access_to_Electricity,Gender_Development_Index,Human_Development_Index,Gender_Inequality_Index
72.241,100.0,0.958,,0.647
72.319,,0.98,0.73,
77.27560976,100.0,,0.867,0.184
,100.0,,0.829,0.204
76.19219512,100.0,0.958,0.819,0.179
54.154,14.29,0.658,,0.725
71.56097561,100.0,,0.684,0.362
,67.0,0.887,0.6,
72.843,,,0.727,0.405
59.473,,0.962,,0.578
77.59341463,100.0,,0.864,0.189
,100.0,0.942,,0.13
73.574,94.78162384,0.928,0.715,0.506
54.658,29.0,0.84,0.449,0.705
68.813,91.83665466,,,
,100.0,0.915,0.719,
,100.0,0.936,0.742,
75.3195122,100.0,0.946,0.835,
75.15780488,100.0,,0.838,0.09
67.625,,0.897,0.583,0.576
76.97121951,,0.948,0.764,
69.37317073,100.0,1.02,0.729,0.389
75.22756098,100.0,1.003,,0.104
76.84878049,100.0,0.982,0.799,0.228
76.08292683,100.0,0.97,0.809,0.254
,100.0,0.921,0.769,0.296
69.37707317,100.0,,0.715,0.332
63.537,48.9,,0.532,0.594
75.025,,0.957,0.743,0.213
77.99195122,100.0,,0.822,
76.75853659,100.0,,0.793,0.264
77.0195122,100.0,,0.783,0.206
,97.85468292,0.813,,
79.03682927,,,0.849,0.161
72.04634146,99.91267395,0.9,0.747,
74.216,100.0,0.931,0.68,
69.03243902,,,0.727,0.416
,,0.961,0.644,
75.35546341,,0.882,,
69.95609756,99.07067871,0.899,0.633,0.509
77.0,,0.942,0.852,0.122
,,0.978,0.845,0.129
,100.0,,0.811,0.237
70.58780488,100.0,,0.713,0.278
74.01463415,100.0,0.971,,
,,,,0.504
50.213,,0.757,0.342,0.741
,,0.964,,0.282
,,0.987,0.813,
46.316,5.6,0.795,,0.66
,100.0,,,
75.36585366,100.0,0.988,0.873,
,,0.835,,0.66
72.306,100.0,0.957,0.742,
72.43,92.82945251,,0.735,0.436
77.37804878,100.0,,,0.184
,100.0,0.944,,0.201
76.35121951,100.0,0.962,0.835,0.175
,,0.679,0.413,0.721
71.49439024,100.0,0.979,,
69.979,72.22491455,0.891,,0.558
72.915,,0.966,0.727,0.405
,,0.965,,
,,0.984,0.868,0.188
,,0.942,0.856,
,94.560057,,,
54.481,32.69752502,0.84,,0.704
69.038,92.13265991,0.975,,0.528
,100.0,0.922,,0.36
,100.0,0.954,0.743,0.284
75.8195122,,,,0.162
,100.0,,,0.094
,82.48540497,0.903,0.593,
,93.4,0.827,0.585,0.65
77.41,100.0,0.954,0.772,0.17
68.86341463,,1.01,0.719,0.384
75.45536585,,1.005,0.825,0.1
77.1,100.0,,0.806,
76.43414634,100.0,0.969,,0.25
77.38292683,100.0,,0.769,0.287
69.11707317,100.0,,0.714,0.327
,66.69656372,0.865,0.54,0.586
