LE_at_birth,Access_to_Electricity,Gender_Development_Index,Human_Development_Index,Gender_Inequality_Index
72.241,100.0,0.958,0.739,0.647
72.319,92.4921875,0.98,0.73,0.439
77.27560976,100.0,0.961,0.867,0.184
75.61707317,100.0,0.942,0.829,0.204
76.19219512,100.0,0.958,0.819,0.179
54.154,14.29,0.658,0.394,0.725
71.56097561,100.0,0.974,0.684,0.362
70.248,67.0,0.887,0.6,0.555
72.843,99.99343872,0.963,0.727,0.405
59.473,10.1,0.962,0.588,0.578
77.59341463,100.0,0.983,0.864,0.189
77.51463415,100.0,0.942,0.853,0.13
73.574,94.78162384,0.928,0.715,0.506
54.658,29.0,0.84,0.449,0.705
68.813,91.83665466,0.955,0.619,0.531
73.716,100.0,0.915,0.719,0.355
71.89829268,100.0,0.936,0.742,0.293
75.3195122,100.0,0.946,0.835,0.172
75.15780488,100.0,0.978,0.838,0.09
67.625,78.2,0.897,0.583,0.576
76.97121951,100.0,0.948,0.764,0.181
69.37317073,100.0,1.02,0.729,0.389
75.22756098,100.0,1.003,0.818,0.104
76.84878049,100.0,0.982,0.799,0.228
76.08292683,100.0,0.97,0.809,0.254
77.13658537,100.0,0.921,0.769,0.296
69.37707317,100.0,0.976,0.715,0.332
63.537,48.9,0.86,0.532,0.594
75.025,100.0,0.957,0.743,0.213
77.99195122,100.0,0.983,0.822,0.183
76.75853659,100.0,0.916,0.793,0.264
77.0195122,100.0,0.943,0.783,0.206
70.093,97.85468292,0.813,0.625,0.664
79.03682927,100.0,0.952,0.849,0.161
72.04634146,99.91267395,0.9,0.747,0.29
74.216,100.0,0.931,0.68,0.584
69.03243902,100.0,1.012,0.727,0.416
66.977,100.0,0.961,0.644,0.475
75.35546341,100.0,0.882,0.733,0.327
69.95609756,99.07067871,0.899,0.633,0.509
77.0,100.0,0.942,0.852,0.122
76.98073171,100.0,0.978,0.845,0.129
76.03170732,100.0,0.959,0.811,0.237
70.58780488,100.0,0.974,0.713,0.278
74.01463415,100.0,0.971,0.711,0.251
69.78439024,100.0,0.948,0.689,0.504
50.213,26.91929436,0.757,0.342,0.741
70.88292683,100.0,0.964,0.69,0.282
77.66682927,100.0,0.987,0.813,0.1
46.316,5.6,0.795,0.331,0.66
69.29804878,100.0,1.013,0.723,0.472
75.36585366,100.0,0.988,0.873,0.296
47.097,12.75270271,0.835,0.408,0.66
72.306,100.0,0.957,0.742,0.64
72.43,92.82945251,0.975,0.735,0.436
77.37804878,100.0,0.97,0.869,0.184
75.81707317,100.0,0.944,0.835,0.201
76.35121951,100.0,0.962,0.835,0.175
57.635,9.90541935,0.679,0.413,0.721
71.49439024,100.0,0.979,0.686,0.361
69.979,72.22491455,0.891,0.608,0.558
72.915,99.99868774,0.966,0.727,0.405
58.348,9.398226738,0.965,0.586,0.572
77.83804878,100.0,0.984,0.868,0.188
77.80609756,100.0,0.942,0.856,0.126
74.135,94.560057,0.929,0.723,0.497
