Country,Year,Poverty_Percentage
Africa Eastern and Southern,2000,55.37042833
Africa Western and Central,2000,71.29779162
Angola,2000,19.7
Albania,2000,28.1
Argentina,2000,20.29188
Armenia,2000,12.79599
Austria,2000,4.5
Azerbaijan,2000,50.94
Burundi,2000,79.7
Benin,2000,71.86569
Burkina Faso,2000,82.21152
Bangladesh,2000,58.31077
Bosnia and Herzegovina,2000,5.1
Belarus,2000,17.5584
Belize,2000,15.8
Bolivia,2000,57.94489
Brazil,2000,34.73978
Botswana,2000,58.69239
Central African Republic,2000,85.96516
Chile,2000,14.616
Cote d'Ivoire,2000,67.07658
Cameroon,2000,65.3638
"Congo, Rep.",2000,87.80583
Colombia,2000,21.17683
Comoros,2000,64.49449
Costa Rica,2000,12.69593
Cuba,2000,2.15371
Dominican Republic,2000,30.15546
Early-demographic dividend,2000,46.6889086
Europe & Central Asia (excluding high income),2000,19.08395091
Ecuador,2000,57.41273
"Egypt, Arab Rep.",2000,42.22616
Ethiopia,2000,92.17158
Fragile and conflict affected situations,2000,48.34523687
Gabon,2000,57.43
Georgia,2000,13.6
Ghana,2000,60.36841
Guinea,2000,40.66534
"Gambia, The",2000,56.92053
Guatemala,2000,55.49609
Guyana,2000,26.1
Honduras,2000,44.4
Heavily indebted poor countries (HIPC),2000,73.27508341
Haiti,2000,61.2833
Hungary,2000,15.4
IDA total,2000,67.9489988
IDA blend,2000,70.15956355
Indonesia,2000,35.12568
IDA only,2000,66.23177456
India,2000,55.29477
Ireland,2000,6.2
Iraq,2000,33.89419
Jordan,2000,40.01581
Kazakhstan,2000,24.45811
Kenya,2000,63.18451
Kyrgyz Republic,2000,47.15842
Cambodia,2000,84.8
Latin America & Caribbean (excluding high income),2000,33.18651349
Lao PDR,2000,54.4
Latin America & Caribbean,2000,32.20253265
Least developed countries: UN classification,2000,64.39832874
Lower middle income,2000,56.20893358
Lesotho,2000,62.72729
Morocco,2000,33.15472
Moldova,2000,26.5
Madagascar,2000,91.43569
Mexico,2000,32.16297
Middle income,2000,43.21115356
Mali,2000,83.87627
Myanmar,2000,29.39935
Montenegro,2000,19.1
Mongolia,2000,57.60411
Mozambique,2000,90.09549
Mauritania,2000,84.69319
Malawi,2000,81.41073
Namibia,2000,42.55683
Niger,2000,70.03805
Nigeria,2000,74.10729
Nicaragua,2000,71.59811
Nepal,2000,66.31029
Pakistan,2000,71.22167
Panama,2000,48.67615
Peru,2000,47.41309
Philippines,2000,49.97359
Pre-demographic dividend,2000,66.30083635
Paraguay,2000,42.02714
Rwanda,2000,71.42051
South Asia,2000,57.78006306
Senegal,2000,67.15485
Sierra Leone,2000,73.9
Sub-Saharan Africa (excluding high income),2000,63.70156457
Sub-Saharan Africa,2000,63.70156457
Suriname,2000,7.43018
Eswatini,2000,55.35217
Chad,2000,91.58375
Togo,2000,69.27204
Thailand,2000,15.6056
Tajikistan,2000,60.27623
Turkmenistan,2000,10.5
Latin America & the Caribbean (IDA & IBRD countries),2000,32.87141255
South Asia (IDA & IBRD),2000,57.78006306
Sub-Saharan Africa (IDA & IBRD countries),2000,63.70156457
Trinidad and Tobago,2000,11.06
Turkiye,2000,24.58136
Tanzania,2000,81.32802
Uganda,2000,80.90118
Ukraine,2000,5.0
Uruguay,2000,23.7
"Venezuela, RB",2000,27.82014
Viet Nam,2000,45.31667
"Yemen, Rep.",2000,63.81216
South Africa,2000,27.60971
Zambia,2000,63.78455
Zimbabwe,2000,27.52175
Africa Eastern and Southern,2002,60.65440448
Africa Western and Central,2002,69.022259
Angola,2002,19.7
Albania,2002,25.5
Argentina,2002,19.56624
Armenia,2002,12.30696
Austria,2002,4.4
Azerbaijan,2002,44.93667
Burundi,2002,79.7
Benin,2002,71.47241
Burkina Faso,2002,76.64539
Bangladesh,2002,57.66662
Bosnia and Herzegovina,2002,5.1
Belarus,2002,16.03017
Belize,2002,15.76133
Bolivia,2002,55.68105
Brazil,2002,31.43266
Botswana,2002,56.56976
Central African Republic,2002,83.12315
Chile,2002,10.97
Cote d'Ivoire,2002,65.53594
Cameroon,2002,62.0946
"Congo, Dem. Rep.",2002,71.91424
"Congo, Rep.",2002,87.80583
Colombia,2002,19.83238
Comoros,2002,65.08643
Costa Rica,2002,11.78091
Cuba,2002,2.15371
Dominican Republic,2002,27.79214
Early-demographic dividend,2002,45.50376543
Europe & Central Asia (excluding high income),2002,18.01351394
Ecuador,2002,57.84727
"Egypt, Arab Rep.",2002,36.71599
Ethiopia,2002,89.07633
Fragile and conflict affected situations,2002,53.29289544
Fiji,2002,15.0
Gabon,2002,55.55895
Georgia,2002,13.6
Ghana,2002,57.00822
Guinea,2002,41.49952
"Gambia, The",2002,55.11779
Guatemala,2002,53.25944
Guyana,2002,26.1
Honduras,2002,44.4
Heavily indebted poor countries (HIPC),2002,72.85787834
Haiti,2002,59.97767
Hungary,2002,14.2
IDA total,2002,67.62898857
IDA blend,2002,68.11213271
Indonesia,2002,33.47149
IDA only,2002,67.31192793
India,2002,54.59656
Ireland,2002,6.4
Iraq,2002,35.43867
Jordan,2002,37.68646
