Year,Country,EoLI_Rank,Gini_Index_Rank,Price_Level_Index_Rank,Consumer_Price_Index_Rank,Natural_Resources_Rents_Rank,UHC_Service_Coverage_Rank
2021,Australia,4,68,191,74,146,3
2021,Japan,8,68,177,6,24,7
2021,South Korea,12,26,159,47,25,5
2021,Canada,17,19,180,62,111,1
2021,United States,18,51,187,73,75,5
2021,Germany,19,29,169,41,26,6
2021,France,20,21,167,19,19,10
2021,United Kingdom,21,24,179,70,58,4
2021,Italy,28,37,161,20,31,10
2021,Saudi Arabia,37,68,118,83,165,10
2021,China,41,42,140,87,82,8
2021,India,51,68,19,140,100,25
2021,Argentina,56,58,84,178,96,12
2021,Turkey,59,61,32,160,64,15
2021,South Africa,61,68,113,128,125,20
2021,Russia,62,39,35,143,157,12
2021,Indonesia,67,41,43,119,113,26
2021,Mexico,70,68,112,118,101,13
2021,Brazil,83,66,101,139,130,8
