Year,Country,Econ_Index,Institutional_Index,Quality_Of_Life_Index_FA,Sustainability_Index_FA,Ease_of_Living_Index
1970,Algeria,-0.956,0.18232,-1.877,-1.11039,-1.017
1970,Denmark,-0.813,-0.39122,0.518,0.00937,-0.118
1970,Germany,-0.482,-0.44718,0.276,0.08919,-0.122
1970,Colombia,-0.884,-0.29366,-0.676,-1.07181,-0.692
1970,China,-0.793,-0.28775,-0.578,-0.53733,-0.553
1970,Costa Rica,-0.839,-0.1721,-0.319,-0.31488,-0.412
1970,Ecuador,-0.932,0.08487,-0.946,-0.32703,-0.592
1970,Egypt,-0.878,-0.03121,-1.266,-1.22152,-0.854
1970,Greece,-0.838,-0.73065,0.5,0.34949,-0.165
1970,Georgia,-0.704,-0.62,0.288,-0.1554,-0.254
1970,United Kingdom,-0.83,-0.49699,0.418,0.46935,-0.115
1970,France,-0.878,-0.44385,0.268,0.02109,-0.233
1970,Finland,-0.481,-0.70048,0.152,0.24533,-0.205
1970,Spain,-0.846,-0.04612,0.304,0.29473,-0.072
1970,Chile,-0.953,-0.3201,-0.499,-0.50139,-0.568
1970,Switzerland,-0.335,-0.3862,0.671,0.43852,0.12
1970,Canada,-0.431,-0.27777,0.481,0.1887,0.019
1970,Tunisia,-0.865,-0.09055,-1.201,-1.35482,-0.862
1970,Turkey,-0.898,-0.14654,-0.614,-0.6525,-0.574
1970,Uruguay,-0.919,-0.48988,0.344,0.34984,-0.179
1970,United States,-0.639,-0.18949,0.222,-0.10286,-0.145
1970,South Africa,-0.867,-0.06726,-1.269,-1.22642,-0.862
1970,Thailand,-0.773,-0.53631,-1.2,-0.89755,-0.882
1970,Brazil,-0.539,-0.92068,-0.696,-0.68239,-0.711
1970,Bahrain,-0.723,-0.11445,-0.427,-0.18813,-0.387
1970,Cyprus,0.234,-0.32605,0.109,-0.00056,0.015
1970,Jordan,-0.875,-0.04113,-1.081,-0.98229,-0.755
1970,Malta,-0.845,-0.51462,0.103,0.11021,-0.287
1970,Sweden,-0.798,-0.76363,0.774,0.45802,-0.051
1970,Syria,-0.628,-0.49178,-0.238,-0.25568,-0.402
1970,Hong Kong,-0.884,-0.30572,0.244,-0.01726,-0.215
1970,New Zealand,-0.777,-0.32681,0.415,0.17389,-0.105
1970,Nepal,-0.914,0.08158,-1.731,-1.1155,-0.981
1970,Norway,-0.772,-0.33445,0.355,-0.08844,-0.166
1970,Netherlands,-0.464,0.50732,0.474,0.60767,0.268
1970,Nicaragua,-0.853,-0.21963,-1.095,-1.01648,-0.804
1970,Malaysia,-0.76,-0.55287,-0.697,-0.84323,-0.699
1970,Panama,-0.843,-0.20711,-0.405,-0.50658,-0.48
1970,Singapore,-0.75,-0.46412,-0.05,-0.19836,-0.351
1970,Saudi Arabia,-0.767,-0.54018,-1.207,-0.95731,-0.893
1970,Portugal,-0.918,-0.61628,0.071,-0.17192,-0.385
1970,Philippines,-0.877,-0.04202,-1.149,-1.24077,-0.818
1970,Peru,-0.858,-0.10943,-1.37,-1.02121,-0.875
1970,Pakistan,-0.882,-0.05858,-1.229,-1.28916,-0.859
1970,Israel,-0.97,-0.661,0.558,0.34493,-0.161
1970,Iceland,-0.969,-0.42401,0.434,0.37279,-0.14
1970,Iran,-0.78,-0.59141,-1.17,-0.96175,-0.897
1970,Ireland,-0.904,-0.56053,0.134,-0.1295,-0.339
1970,India,-0.895,0.00174,-1.159,-1.28598,-0.822
1970,Indonesia,-0.93,0.13822,-1.406,-1.11005,-0.857
1970,Hungary,-0.804,-0.30336,0.288,0.08836,-0.163
1970,Italy,-0.814,-0.20379,0.373,0.23269,-0.089
1970,Mexico,-0.896,0.05406,-1.106,-0.899,-0.732
1970,Morocco,-0.673,-0.78433,-1.656,-0.86272,-1.073
1970,South Korea,-0.952,-0.03731,-0.926,-0.4444,-0.638
1970,Japan,-0.85,-0.25466,0.281,-0.08335,-0.19
1970,Qatar,-0.501,-0.13478,-0.039,-0.12745,-0.192
1970,Kuwait,-0.366,-0.2869,-0.073,-0.01952,-0.192
1970,United Arab Emirates,-0.614,0.23065,0.116,0.18771,-0.027
1970,Argentina,-0.313,-0.10896,0.152,0.40651,0.009
1970,Australia,-0.383,-0.30692,0.433,-0.00424,-0.022
1970,Austria,-0.673,-0.39841,0.347,0.09548,-0.132
1970,Belgium,-0.439,-0.16297,0.476,0.3267,0.065
1971,Qatar,-0.474,0.16161,0.084,0.46891,0.022
1971,Portugal,-0.915,-0.51423,0.21,0.00405,-0.283
1971,Peru,-0.819,-0.30882,-1.406,-0.86758,-0.904
1971,Philippines,-0.983,-0.27701,-0.927,-0.66241,-0.739
1971,Pakistan,-0.623,-0.84634,-1.668,-0.84217,-1.077
1971,Panama,-0.807,-0.59778,-0.607,-0.9138,-0.701
1971,Tunisia,-0.892,-0.34269,-0.556,-0.50117,-0.578
1971,Turkey,-0.957,-0.32402,-0.542,-0.80523,-0.631
1971,Uruguay,-1.039,-0.44378,0.338,0.24363,-0.216
1971,United States,-0.191,-0.20271,0.411,-0.30254,0.0
1971,South Africa,-0.855,0.08927,-0.282,-0.2763,-0.332
1971,Singapore,-0.752,-0.35091,0.165,0.20928,-0.187
1971,Saudi Arabia,-0.764,-0.49601,-1.249,-0.88112,-0.884
1971,Syria,-0.972,-0.90751,-0.238,0.04491,-0.546
1971,Thailand,-0.724,-0.65841,-0.169,0.10539,-0.389
1971,Sweden,-0.738,-0.49154,0.817,0.71542,0.086
1971,New Zealand,-0.883,-0.20417,0.458,0.5335,-0.031
1971,Argentina,-0.408,-0.42511,-0.179,0.05218,-0.263
1971,Hungary,-0.813,-0.19501,0.392,0.36293,-0.06
1971,Germany,-0.78,-0.59406,0.256,-0.01958,-0.257
1971,Costa Rica,-0.849,-0.52648,-0.185,-0.54367,-0.49
1971,Colombia,-0.888,-0.37576,-0.579,-0.65106,-0.616
1971,China,-0.777,-0.35923,-0.577,-0.64142,-0.582
1971,Chile,-1.032,-0.29398,-0.291,0.03134,-0.429
1971,Switzerland,-0.698,-0.19229,0.731,-0.04141,0.027
1971,Canada,-0.376,-0.48507,0.548,0.15824,0.0
1971,Denmark,-0.794,-0.39617,0.548,0.24134,-0.07
1971,Brazil,-0.543,-0.81996,-1.092,-0.79455,-0.842
1971,Bahrain,-0.722,-0.69482,-0.161,0.16123,-0.386
1971,Belgium,-0.261,-0.24554,0.402,-0.22483,-0.02
1971,Austria,-0.511,-0.41845,0.347,0.16052,-0.087
1971,Hong Kong,-0.867,-0.63699,0.354,-0.10638,-0.268
1971,Australia,-0.92,-0.548,0.201,-0.15832,-0.32
1971,Greece,-0.92,-0.54453,0.379,0.46566,-0.164
1971,Georgia,-0.883,-0.34617,0.27,-0.00575,-0.214
1971,Algeria,-0.573,-0.82715,-1.92,-0.86716,-1.152
1971,United Kingdom,-0.885,-0.51223,0.479,0.58683,-0.094
1971,France,-0.818,-0.31491,0.317,0.27427,-0.131
1971,Finland,-0.792,-0.45582,0.324,0.1862,-0.171
1971,Spain,-0.847,-0.43805,0.273,-0.11464,-0.243
1971,Egypt,-0.815,-0.46348,-1.224,-0.81571,-0.87
1971,Ecuador,-0.861,-0.09117,-1.086,-1.04106,-0.774
1971,United Arab Emirates,-0.232,-1.35376,-0.513,-0.49971,-0.651
1971,Cyprus,0.287,-0.31667,0.128,-0.23103,0.003
1971,Morocco,-0.833,-0.30303,-1.687,-0.86609,-1.004
1971,Mexico,-0.823,-0.49375,-0.929,-0.87863,-0.786
1971,Malta,-0.722,-0.25321,0.103,0.21686,-0.175
1971,Malaysia,-0.779,-0.43695,-0.185,-0.22045,-0.402
1971,Nicaragua,-0.841,-0.34778,-1.1,-1.10565,-0.848
1971,Norway,-0.788,-0.47683,0.337,0.1583,-0.175
1971,Nepal,-0.554,-0.82191,-1.737,-0.86716,-1.082
1971,Kuwait,-0.386,-0.27521,-0.073,-0.00832,-0.192
1971,South Korea,-0.926,-0.04535,-0.594,-0.80879,-0.572
1971,Japan,-0.831,-0.43062,0.372,0.25548,-0.147
1971,Italy,-0.465,-0.42497,0.343,0.25509,-0.064
1971,Israel,-0.85,-0.71828,0.534,-0.06144,-0.214
1971,Iceland,-0.588,0.12808,0.47,0.14853,0.072
1971,Netherlands,-0.784,-0.36471,0.348,0.12538,-0.147
1971,Ireland,-0.76,-0.08417,0.515,0.18335,-0.003
1971,Iran,-0.853,-0.35202,-1.181,-1.01538,-0.867
1971,Jordan,-0.587,-0.88758,-0.879,-0.81819,-0.799
