Year,Country Name,Country Code,Gini index [SI.POV.GINI] - 2021 [YR2021],Gini_Index_Rank,Price level index (GDP) [PA.NUS.GDP.PLI] - 2021 [YR2021],Price_Level_Index_Rank,Consumer price index (2010 = 100) [FP.CPI.TOTL] - 2021 [YR2021],Consumer_Price_Index_Rank,Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS] - 2021 [YR2021],Natural_Resources_Rents_Rank,UHC service coverage index [SH_UHC_SCI] - 2021 [YR2021],UHC_Service_Coverage_Rank
2021,Afghanistan,AFG,,68,16.6263302067621,2,166.418480358434,125,0.428525449642917,50,42.0,47
2021,Albania,ALB,,68,39.7655890223611,78,123.447406489024,69,1.44260146706838,79,69.0,23
2021,Algeria,DZA,,68,28.6997163356223,22,166.218894516626,124,22.5902703479201,162,69.0,23
2021,American Samoa,ASM,,68,,201,,178,0.0,1,,59
2021,Andorra,AND,,68,71.5053622899888,158,,178,0.0,1,74.0,18
2021,Angola,AGO,,68,25.9967838981942,10,583.675779438661,170,29.9674348417559,171,38.0,51
2021,Antigua and Barbuda,ATG,,68,67.384993588483,152,118.555594720979,46,0.0,1,80.0,12
2021,Argentina,ARG,42.4,58,40.8285397167516,84,,178,2.65308888983975,96,80.0,12
2021,Armenia,ARM,27.9,8,29.4263704063936,24,140.134410734876,103,7.05429982361028,124,71.0,21
2021,Aruba,ABW,,68,76.1985246029648,163,,178,0.0020661282461218,6,,59
2021,Australia,AUS,,68,104.168691118311,191,124.271592622831,74,13.3578752832739,146,89.0,3
2021,Austria,AUT,30.7,18,85.1986982364327,173,123.000843561169,66,0.117855774382781,33,84.0,8
2021,Azerbaijan,AZE,,68,26.8904794664944,14,171.943182758333,130,29.9383945565987,170,67.0,25
2021,"Bahamas, The",BHS,,68,97.7568686008453,184,119.641038306054,52,0.0147540061086709,16,80.0,12
2021,Bahrain,BHR,,68,49.400361294442,111,115.315875502436,37,16.6400337175308,149,78.0,14
2021,Bangladesh,BGD,,68,33.3668338762788,41,200.437039174983,144,0.610069177584654,59,52.0,38
2021,Barbados,BRB,,68,119.210171699524,199,,178,0.328405869203115,44,81.0,11
2021,Belarus,BLR,,68,27.125674876434,16,587.301149813957,171,1.86330240223309,86,80.0,12
2021,Belgium,BEL,26.6,5,85.1473673069754,172,120.856958300437,58,0.0448914290094104,23,85.0,7
2021,Belize,BLZ,,68,52.4310171604155,121,109.728123082433,14,0.523036536890701,55,69.0,23
2021,Benin,BEN,34.4,35,38.064137319197,63,116.04419147224,40,2.30442028320417,94,37.0,52
2021,Bermuda,BMU,,68,122.146320343018,200,,178,0.0,1,,59
2021,Bhutan,BTN,,68,26.5299225735699,11,192.704073301911,141,2.73325446048629,97,68.0,24
2021,Bolivia,BOL,40.9,56,35.8025589486107,54,150.816761737338,112,9.46769419569564,135,66.0,26
2021,Bosnia and Herzegovina,BIH,30.3,17,39.8941793399502,81,105.850178320985,9,0.813398711441269,63,64.0,28
2021,Botswana,BWA,,68,43.472249726079,96,163.633196988276,122,1.03853443914101,69,60.0,31
2021,Brazil,BRA,52.9,66,44.1063655198667,101,187.117425058295,139,7.94111199933246,130,84.0,8
2021,Brunei Darussalam,BRN,,68,39.6261217644167,76,102.69810471103,3,24.2800139399884,164,84.0,8
2021,Bulgaria,BGR,39.0,50,41.8815172051616,89,120.168304321484,54,0.917744335906696,66,72.0,20
2021,Burkina Faso,BFA,37.4,46,36.0168978396194,55,114.434519867232,32,20.1354014379911,158,45.0,44
2021,Burundi,BDI,,68,25.5886536688489,9,211.871226580911,149,13.9570339894077,147,45.0,44
2021,Cabo Verde,CPV,,68,51.6750483152882,119,113.241195056328,25,17.6577234520724,153,70.0,22
2021,Cambodia,KHM,,68,34.8147437686668,47,137.850836238126,98,0.835283715830679,65,59.0,32
2021,Cameroon,CMR,42.2,57,34.8869706544948,51,124.302010149148,75,5.52598268395679,116,43.0,46
2021,Canada,CAN,31.1,19,92.7915649476044,180,121.587006296508,62,4.94905581435186,111,92.0,1
2021,Cayman Islands,CYM,,68,116.571065363394,198,,178,0.0,1,,59
2021,Central African Republic,CAF,43.0,60,43.6189893858498,97,160.95649049113,120,10.2601957578803,138,33.0,55
2021,Chad,TCD,,68,38.8636644044548,70,122.00219164626,63,21.3429312625159,160,25.0,58
2021,Channel Islands,CHI,,68,,201,,178,,181,,59
2021,Chile,CHL,,68,55.7130143098494,130,142.081272844549,104,16.9044168802743,151,82.0,10
2021,China,CHN,35.7,42,61.8301183741458,140,129.366216637456,87,1.70756488252672,82,84.0,8
2021,Colombia,COL,55.1,67,35.7969819066022,53,149.559763199865,111,5.32396445388134,114,82.0,10
2021,Comoros,COM,,68,46.0339178752072,108,119.366148163656,51,1.62843413378353,81,54.0,36
2021,"Congo, Dem. Rep.",COD,,68,42.4806895585243,91,,178,38.8272665239082,178,40.0,49
2021,"Congo, Rep.",COG,,68,40.173679367009,82,129.158575405591,86,37.7125480946685,177,45.0,44
2021,Costa Rica,CRI,48.7,63,53.8219877576884,125,132.020379357514,89,0.763407374189705,62,84.0,8
2021,Cote d'Ivoire,CIV,35.3,40,40.626932513803,83,121.388699871755,61,4.73502206212113,110,46.0,43
2021,Croatia,HRV,28.9,12,48.1685613036476,109,112.795275590551,21,0.681198197003712,61,76.0,16
2021,Cuba,CUB,,68,,201,,178,,181,86.0,6
2021,Curacao,CUW,,68,71.4516506514737,157,,178,0.0,1,,59
2021,Cyprus,CYP,31.3,20,69.1495418540169,154,104.348039621067,5,0.0127645649104764,14,75.0,17
2021,Czechia,CZE,26.2,4,57.9471972568405,132,124.771546317864,77,0.394999591152656,48,83.0,9
2021,Data from database: World Development Indicators,,,68,,201,,178,,181,,59
2021,Denmark,DNK,28.3,9,100.018369599606,188,112.864922774752,22,0.33866438619955,45,85.0,7
2021,Djibouti,DJI,,68,50.7694026111987,117,105.423336426976,8,0.277110490356489,39,47.0,42
2021,Dominica,DMA,,68,52.985120702673,122,109.097704942729,12,0.0330678676450178,20,75.0,17
2021,Dominican Republic,DOM,38.5,48,38.6654786936087,68,148.476613026711,110,2.07711318519727,91,78.0,14
2021,Ecuador,ECU,45.8,62,44.8739469051361,104,123.886850743311,71,6.69943720189179,122,78.0,14
2021,"Egypt, Arab Rep.",EGY,28.5,10,24.5673676217871,8,318.936481308266,162,5.1391200748227,112,71.0,21
2021,El Salvador,SLV,39.0,50,42.9484784603119,93,114.656913864201,34,0.535264947589614,56,78.0,14
2021,Equatorial Guinea,GNQ,,68,41.2903242977651,86,130.14745508982,88,23.500064053404,163,50.0,39
2021,Eritrea,ERI,,68,32.7593959979157,37,,178,,181,39.0,50
2021,Estonia,EST,31.8,23,63.1701599612393,142,127.257572871023,82,1.72122598420606,83,79.0,13
2021,Eswatini,SWZ,,68,39.8781667048552,79,,178,2.99915237990705,99,67.0,25
2021,Ethiopia,ETH,31.1,19,34.5002826134764,46,492.356913864235,168,5.86707347361267,118,29.0,57
2021,Faroe Islands,FRO,,68,101.444450252803,189,,178,0.0,1,,59
2021,Fiji,FJI,,68,43.9502521788072,99,132.070621413067,90,2.25290361305504,93,69.0,23
2021,Finland,FIN,27.7,7,93.5002341988357,182,115.130462665655,36,0.448312840515242,52,86.0,6
2021,France,FRA,31.5,21,83.2584127577506,167,112.388921149413,19,0.0325366370984223,19,82.0,10
2021,French Polynesia,PYF,,68,,201,,178,0.0035701262568816,10,,59
2021,Gabon,GAB,,68,44.167537961127,102,125.637671569116,79,18.4933440925176,156,48.0,41
