Year,Country,Ease_of_Living_Rank
1971,Slovenia,1
1971,Poland,2
1971,Lithuania,3
1971,Curacao,5
1971,Cuba,6
1971,Belarus,7
1971,Sweden,8
1971,Iceland,9
1971,Switzerland,10
1971,Qatar,11
1971,Puerto Rico,12
1971,Europe & Central Asia (IDA & IBRD countries),12
1971,Cyprus,14
1971,United States,15
1971,Canada,15
1971,Ireland,16
1971,Antigua and Barbuda,18
1971,Bermuda,18
1971,Belgium,19
1971,Sint Maarten (Dutch part),20
1971,New Zealand,21
1971,Post-demographic dividend,21
1971,North America,22
1971,Euro area,23
1971,Europe & Central Asia,24
1971,Bulgaria,25
1971,Croatia,26
1971,Estonia,27
1971,Hungary,28
1971,Montenegro,29
1971,Italy,30
1971,Aruba,31
1971,Denmark,32
1971,Latvia,33
1971,Austria,34
1971,European Union,35
1971,United Kingdom,36
1971,OECD members,37
1971,France,38
1971,St. Martin (French part),39
1971,Japan,40
1971,Netherlands,40
1971,Grenada,41
1971,Barbados,42
1971,Tajikistan,43
1971,Greece,44
1971,"Bahamas, The",45
1971,High income,46
1971,Finland,47
1971,Malta,48
1971,Norway,48
1971,Lebanon,49
1971,Singapore,50
1971,Kuwait,51
1971,Georgia,52
1971,Israel,52
1971,Trinidad and Tobago,52
1971,Uruguay,53
1971,Gibraltar,54
1971,Channel Islands,56
1971,North Macedonia,57
1971,Spain,58
1971,Romania,59
1971,Germany,60
1971,Armenia,61
1971,Argentina,62
1971,Luxembourg,64
1971,Central Europe and the Baltics,65
1971,Portugal,66
1971,Samoa,67
1971,Kosovo,67
1971,Serbia,68
1971,Brunei Darussalam,69
1971,British Virgin Islands,70
1971,Australia,71
1971,South Africa,72
1971,Ukraine,73
1971,Jamaica,74
1971,Caribbean small states,75
1971,Tonga,76
1971,St. Vincent and the Grenadines,77
1971,Bahrain,78
1971,Thailand,79
1971,Albania,80
1971,Dominica,81
1971,St. Lucia,82
1971,Malaysia,83
1971,Isle of Man,84
1971,Sri Lanka,84
1971,Europe & Central Asia (excluding high income),85
1971,Chile,86
1971,Moldova,87
1971,St. Kitts and Nevis,88
1971,Guam,89
1971,Uzbekistan,92
1971,Belize,93
1971,Costa Rica,94
1971,Virgin Islands (U.S.),95
1971,French Polynesia,97
1971,Turkmenistan,98
1971,Upper middle income,99
1971,Tunisia,101
1971,China,102
1971,Latin America & Caribbean (excluding high income),103
1971,Latin America & the Caribbean (IDA & IBRD countries),104
1971,Small states,105
1971,Colombia,106
1971,Latin America & Caribbean,108
1971,Solomon Islands,109
1971,United Arab Emirates,110
1971,"Korea, Dem. People's Rep.",111
1971,New Caledonia,113
1971,Fiji,114
1971,Kyrgyz Republic,115
1971,Panama,116
1971,World,117
1971,Tuvalu,118
1971,Eswatini,119
1971,Late-demographic dividend,120
1971,Philippines,121
1971,Zimbabwe,121
1971,Low & middle income,122
1971,Lesotho,123
1971,Libya,124
1971,Paraguay,124
1971,Ecuador,125
1971,Turks and Caicos Islands,125
1971,Kiribati,126
1971,Mexico,127
1971,Jordan,128
1971,"Micronesia, Fed. Sts.",129
1971,Marshall Islands,130
1971,Gabon,131
1971,Zambia,131
1971,Kazakhstan,132
1971,Kenya,133
1971,Vanuatu,133
1971,Middle East & North Africa (excluding high income),134
1971,Dominican Republic,135
1971,Central African Republic,136
1971,Cameroon,136
1971,Mauritius,136
1971,IBRD only,137
1971,Brazil,138
1971,Botswana,138
1971,India,139
1971,East Asia & Pacific (IDA & IBRD countries),140
1971,Cabo Verde,141
1971,Middle East & North Africa (IDA & IBRD countries),142
1971,Nicaragua,143
1971,Guyana,144
1971,Iraq,144
1971,Bhutan,145
1971,East Asia & Pacific,146
1971,Bolivia,147
1971,Mongolia,148
1971,Indonesia,149
1971,Lower middle income,150
1971,Eritrea,153
1971,Least developed countries: UN classification,154
1971,Ethiopia,155
1971,Low income,155
1971,IDA & IBRD total,156
1971,Saudi Arabia,157
1971,Azerbaijan,158
1971,Liberia,158
1971,Honduras,159
1971,Namibia,160
1971,Nauru,160
1971,Suriname,162
1971,East Asia & Pacific (excluding high income),163
1971,IDA total,163
1971,IDA only,164
1971,Peru,165
1971,Pacific island small states,165
1971,Fragile and conflict affected situations,166
1971,Ghana,167
1971,Middle income,167
1971,Early-demographic dividend,168
1971,Other small states,169
1971,Sao Tome and Principe,170
1971,Uganda,171
1971,Djibouti,172
1971,IDA blend,172
1971,Papua New Guinea,173
1971,Lao PDR,174
1971,El Salvador,174
1971,Bangladesh,175
1971,"Congo, Rep.",175
1971,Mauritania,176
1971,Guinea,177
1971,Guinea-Bissau,178
1971,Guatemala,179
1971,Middle East & North Africa,180
1971,Heavily indebted poor countries (HIPC),181
1971,Sudan,182
1971,Rwanda,183
1971,"Yemen, Rep.",183
1971,Benin,184
1971,Comoros,185
1971,Haiti,185
1971,Cambodia,186
1971,Burundi,187
1971,Burkina Faso,188
1971,Arab World,189
1971,Tanzania,189
1971,Morocco,190
1971,Sub-Saharan Africa,191
1971,Timor-Leste,192
1971,Madagascar,193
1971,Sub-Saharan Africa (IDA & IBRD countries),194
1971,Myanmar,195
1971,Maldives,196
1971,Senegal,197
1971,Sierra Leone,198
1971,Sub-Saharan Africa (excluding high income),198
1971,Equatorial Guinea,199
1971,Malawi,200
1971,Oman,201
1971,Mozambique,202
1971,Mali,203
1971,Nigeria,204
1971,"Gambia, The",205
1971,Pakistan,206
1971,Somalia,207
1971,Togo,207
1971,South Asia,208
1971,Nepal,209
1971,"Congo, Dem. Rep.",210
1971,Niger,211
1971,Pre-demographic dividend,212
1971,South Sudan,213
1971,South Asia (IDA & IBRD),214
1971,Chad,215
1971,Angola,216
1971,Africa Eastern and Southern,217
1971,Africa Western and Central,218
1971,Algeria,219
1971,Afghanistan,219
1972,Switzerland,1
1972,Slovenia,3
1972,Euro area,4
1972,Sweden,5
1972,Bulgaria,6
1972,Lithuania,7
1972,Curacao,8
1972,Poland,9
1972,Canada,10
1972,Denmark,11
1972,Israel,12
1972,Greece,13
1972,Puerto Rico,14
1972,Qatar,16
1972,Belarus,17
1972,North America,18
1972,Kuwait,19
1972,Europe & Central Asia (IDA & IBRD countries),21
1972,Cuba,22
1972,Latvia,23
1972,Montenegro,24
1972,Europe & Central Asia,25
1972,Gibraltar,26
1972,Germany,27
1972,Croatia,28
1972,Sint Maarten (Dutch part),29
1972,Belgium,30
1972,New Zealand,31
1972,Hungary,32
1972,Estonia,33
1972,Spain,34
1972,Australia,35
1972,Antigua and Barbuda,36
1972,United Kingdom,37
1972,Cyprus,37
1972,Post-demographic dividend,38
1972,Dominica,39
1972,Japan,40
1972,Bermuda,41
1972,OECD members,42
1972,Grenada,43
1972,Italy,44
1972,Channel Islands,45
1972,Tajikistan,45
1972,Aruba,46
1972,France,47
1972,United States,48
1972,British Virgin Islands,49
1972,Barbados,50
1972,Lebanon,51
1972,"Bahamas, The",52
1972,St. Vincent and the Grenadines,53
1972,European Union,55
1972,Uruguay,56
1972,Singapore,57
1972,Georgia,58
1972,Iceland,59
1972,Netherlands,59
1972,Argentina,60
1972,Austria,61
1972,St. Martin (French part),62
1972,Finland,63
1972,Luxembourg,64
1972,High income,65
1972,Armenia,66
1972,Central Europe and the Baltics,66
1972,Romania,67
1972,Kosovo,68
1972,Ireland,69
1972,Malta,69
1972,North Macedonia,70
1972,Norway,71
1972,Thailand,72
1972,Serbia,73
1972,Ukraine,75
1972,Samoa,76
1972,Brunei Darussalam,77
1972,Suriname,78
1972,Trinidad and Tobago,79
1972,Jamaica,80
1972,Albania,81
1972,Isle of Man,82
1972,Sri Lanka,83
1972,Caribbean small states,84
1972,Bahrain,85
1972,Upper middle income,86
1972,Panama,87
1972,Virgin Islands (U.S.),88
1972,Europe & Central Asia (excluding high income),89
1972,St. Lucia,89
1972,Moldova,90
1972,Guam,91
1972,French Polynesia,92
1972,Costa Rica,93
1972,China,96
1972,Small states,97
1972,Portugal,98
1972,Malaysia,99
1972,Tunisia,100
1972,Colombia,101
1972,Turkmenistan,102
1972,Belize,104
1972,Latin America & the Caribbean (IDA & IBRD countries),105
1972,Philippines,106
1972,Tonga,107
1972,Latin America & Caribbean,108
1972,Latin America & Caribbean (excluding high income),109
1972,Ecuador,110
1972,Mexico,111
1972,Solomon Islands,112
1972,Jordan,113
1972,"Korea, Dem. People's Rep.",114
1972,New Caledonia,115
1972,World,116
1972,Brazil,117
1972,United Arab Emirates,118
1972,Fiji,119
1972,Kyrgyz Republic,120
1972,Uzbekistan,121
1972,Kenya,122
1972,Late-demographic dividend,123
1972,Eswatini,124
1972,South Africa,125
1972,Zimbabwe,125
1972,East Asia & Pacific,126
1972,Low & middle income,126
1972,Chile,127
1972,Libya,128
1972,Lesotho,129
1972,Kiribati,130
1972,Turks and Caicos Islands,131
1972,Cabo Verde,132
1972,Indonesia,133
1972,Paraguay,135
1972,Zambia,136
1972,Dominican Republic,137
1972,Guyana,138
1972,Kazakhstan,139
1972,Iraq,140
1972,Middle income,141
1972,"Micronesia, Fed. Sts.",142
1972,India,143
1972,Vanuatu,143
1972,Middle East & North Africa,144
1972,IBRD only,145
1972,Marshall Islands,146
1972,Saudi Arabia,147
1972,Botswana,148
1972,Least developed countries: UN classification,148
1972,Mauritania,149
1972,Middle East & North Africa (IDA & IBRD countries),149
1972,Bolivia,150
1972,Bhutan,151
1972,Tuvalu,152
1972,Eritrea,153
1972,Lower middle income,153
1972,Middle East & North Africa (excluding high income),153
1972,Ethiopia,154
1972,Low income,155
1972,Mauritius,156
1972,Peru,157
1972,IDA & IBRD total,158
1972,Azerbaijan,159
1972,Liberia,159
1972,Cameroon,161
1972,East Asia & Pacific (excluding high income),162
1972,East Asia & Pacific (IDA & IBRD countries),163
1972,Sudan,164
1972,Mongolia,165
1972,"Congo, Rep.",166
1972,El Salvador,167
1972,Djibouti,168
1972,Early-demographic dividend,169
1972,Guatemala,170
1972,Pakistan,171
1972,Guinea-Bissau,171
1972,IDA only,172
1972,Guinea,174
1972,Fragile and conflict affected situations,175
1972,IDA blend,175
1972,Lao PDR,175
1972,Ghana,177
1972,Honduras,178
1972,Haiti,178
1972,Sao Tome and Principe,179
1972,IDA total,180
1972,Heavily indebted poor countries (HIPC),181
1972,Namibia,182
1972,Nauru,183
1972,St. Kitts and Nevis,184
1972,Pacific island small states,185
1972,Other small states,186
1972,"Gambia, The",187
1972,Arab World,188
