Year,Country,Institutional_Rank
1971,Qatar,1
1971,Curacao,2
1971,Iceland,3
1971,Bermuda,4
1971,Antigua and Barbuda,5
1971,Cuba,6
1971,Aruba,6
1971,Belarus,7
1971,South Africa,8
1971,Poland,9
1971,Post-demographic dividend,10
1971,Ireland,12
1971,Slovenia,13
1971,Ecuador,14
1971,St. Martin (French part),15
1971,Lithuania,16
1971,Europe & Central Asia (IDA & IBRD countries),18
1971,Europe & Central Asia,19
1971,Switzerland,20
1971,OECD members,21
1971,Hungary,22
1971,United States,23
1971,New Zealand,24
1971,Grenada,25
1971,"Bahamas, The",26
1971,Puerto Rico,27
1971,Sint Maarten (Dutch part),28
1971,Belgium,29
1971,Malta,30
1971,Gibraltar,31
1971,Kuwait,32
1971,Philippines,33
1971,North America,34
1971,Dominica,35
1971,Chile,36
1971,European Union,37
1971,North Macedonia,38
1971,St. Vincent and the Grenadines,39
1971,Morocco,40
1971,Jamaica,41
1971,Bulgaria,42
1971,Peru,43
1971,France,44
1971,Cyprus,45
1971,Romania,46
1971,Samoa,48
1971,Croatia,49
1971,Tunisia,50
1971,Georgia,51
1971,Nicaragua,52
1971,Singapore,53
1971,China,55
1971,Armenia,56
1971,British Virgin Islands,57
1971,Central Europe and the Baltics,58
1971,Netherlands,59
1971,High income,60
1971,Tonga,61
1971,Colombia,62
1971,Ukraine,65
1971,Estonia,66
1971,Denmark,67
1971,Guam,68
1971,Uzbekistan,69
1971,Brunei Darussalam,70
1971,St. Lucia,70
1971,Indonesia,71
1971,Kosovo,72
1971,Austria,74
1971,Lebanon,75
1971,Italy,76
1971,Argentina,77
1971,Japan,79
1971,Malaysia,80
1971,Spain,81
1971,Barbados,82
1971,Uruguay,83
1971,Isle of Man,84
1971,Finland,85
1971,Trinidad and Tobago,86
1971,Moldova,88
1971,Tajikistan,89
1971,Channel Islands,90
1971,Caribbean small states,91
1971,Sri Lanka,92
1971,Europe & Central Asia (excluding high income),93
1971,St. Kitts and Nevis,93
1971,Euro area,94
1971,Norway,95
1971,Canada,96
1971,Sweden,98
1971,Mexico,99
1971,Saudi Arabia,100
1971,Albania,101
1971,Montenegro,102
1971,United Kingdom,103
1971,Portugal,104
1971,Costa Rica,105
1971,India,106
1971,Greece,107
1971,Australia,108
1971,Honduras,109
1971,East Asia & Pacific (excluding high income),109
1971,Lower middle income,110
1971,Eritrea,110
1971,Least developed countries: UN classification,110
1971,Ethiopia,110
1971,Low income,110
1971,Liberia,110
1971,Lao PDR,110
1971,Bangladesh,110
1971,Middle East & North Africa,110
1971,Heavily indebted poor countries (HIPC),110
1971,Sudan,110
1971,Rwanda,110
1971,"Yemen, Rep.",110
1971,Benin,110
1971,Comoros,110
1971,Haiti,110
1971,Cambodia,110
1971,Burundi,110
1971,Burkina Faso,110
1971,Arab World,110
1971,Tanzania,110
1971,Sub-Saharan Africa,110
1971,Timor-Leste,110
1971,Madagascar,110
1971,Sub-Saharan Africa (IDA & IBRD countries),110
1971,Myanmar,110
1971,Maldives,110
1971,Senegal,110
1971,Sierra Leone,110
1971,Sub-Saharan Africa (excluding high income),110
1971,Equatorial Guinea,110
1971,Malawi,110
1971,Oman,110
1971,Mozambique,110
1971,Mali,110
1971,Nigeria,110
1971,"Gambia, The",110
1971,Somalia,110
1971,Togo,110
1971,South Asia,110
1971,"Congo, Dem. Rep.",110
1971,Niger,110
1971,Pre-demographic dividend,110
1971,South Sudan,110
1971,South Asia (IDA & IBRD),110
1971,Chad,110
1971,Angola,110
1971,Africa Eastern and Southern,110
1971,Africa Western and Central,110
1971,Afghanistan,110
1971,Belize,111
1971,Zambia,112
1971,Middle East & North Africa (excluding high income),112
1971,Dominican Republic,112
1971,IBRD only,112
1971,Iraq,112
1971,East Asia & Pacific,112
1971,Bhutan,113
1971,Small states,114
1971,Kenya,114
