Year,Country,Sustainability_Rank
1971,Sweden,1
1971,United Kingdom,2
1971,New Zealand,3
1971,Qatar,4
1971,Greece,5
1971,Hungary,6
1971,Belarus,7
1971,France,8
1971,Japan,9
1971,Italy,10
1971,Grenada,11
1971,Sint Maarten (Dutch part),12
1971,Montenegro,13
1971,Uruguay,14
1971,Denmark,15
1971,Trinidad and Tobago,16
1971,Serbia,17
1971,Poland,18
1971,Slovenia,19
1971,Post-demographic dividend,20
1971,Malta,21
1971,European Union,22
1971,Singapore,23
1971,Cuba,24
1971,Puerto Rico,25
1971,Lithuania,26
1971,North America,27
1971,Finland,28
1971,Barbados,29
1971,Ireland,30
1971,High income,31
1971,Latvia,32
1971,Bulgaria,33
1971,St. Martin (French part),34
1971,Aruba,35
1971,Bahrain,37
1971,Austria,38
1971,Norway,39
1971,Canada,40
1971,Iceland,41
1971,Netherlands,42
1971,Antigua and Barbuda,43
1971,Thailand,44
1971,Bermuda,45
1971,"Bahamas, The",46
1971,Central Europe and the Baltics,47
1971,Channel Islands,48
1971,Europe & Central Asia,49
1971,Argentina,50
1971,Euro area,51
1971,Luxembourg,52
1971,Estonia,53
1971,Chile,55
1971,OECD members,57
1971,North Macedonia,58
1971,Armenia,59
1971,Portugal,60
1971,Georgia,62
1971,Kuwait,63
1971,Europe & Central Asia (IDA & IBRD countries),64
1971,Germany,65
1971,Lebanon,66
1971,Switzerland,67
1971,Gibraltar,68
1971,Romania,69
1971,Israel,70
1971,Croatia,71
1971,Uzbekistan,73
1971,Virgin Islands (U.S.),74
1971,Samoa,75
1971,Spain,77
1971,Curacao,78
1971,Australia,79
1971,French Polynesia,80
1971,Dominica,81
1971,Malaysia,82
1971,Albania,83
1971,Europe & Central Asia (excluding high income),84
1971,Belgium,85
1971,St. Kitts and Nevis,86
1971,Cyprus,87
1971,Tonga,88
1971,Turkmenistan,89
1971,Ukraine,90
1971,South Africa,91
1971,Sri Lanka,93
1971,Isle of Man,94
1971,United States,95
1971,Guam,96
1971,Moldova,97
1971,Caribbean small states,98
1971,Brunei Darussalam,100
1971,St. Lucia,100
1971,Tajikistan,101
1971,British Virgin Islands,102
1971,Kosovo,103
1971,Jamaica,104
1971,St. Vincent and the Grenadines,105
1971,United Arab Emirates,106
1971,Tunisia,107
1971,Costa Rica,108
1971,Belize,110
1971,Latin America & the Caribbean (IDA & IBRD countries),111
1971,Upper middle income,112
1971,Fiji,113
1971,Latin America & Caribbean (excluding high income),114
1971,China,115
1971,Colombia,116
1971,New Caledonia,117
1971,Philippines,118
1971,"Korea, Dem. People's Rep.",119
1971,Paraguay,119
1971,World,120
1971,Gabon,121
1971,Kyrgyz Republic,122
1971,Latin America & Caribbean,123
1971,Marshall Islands,123
1971,East Asia & Pacific (IDA & IBRD countries),123
1971,Turks and Caicos Islands,124
1971,"Micronesia, Fed. Sts.",125
1971,India,126
1971,Zimbabwe,127
1971,Kazakhstan,128
1971,Brazil,129
1971,Mauritius,132
1971,Namibia,133
1971,Kiribati,134
