Year,Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Ease_of_Living_Rank,Sustainability_Rank
1980,France,22,15,3,1,1
1980,Netherlands,9,35,1,2,3
1980,Denmark,15,8,6,3,30
1980,Germany,2,17,30,4,11
1980,Bermuda,6,36,7,5,24
1980,Slovenia,24,27,25,6,2
1980,Switzerland,19,25,8,7,21
1980,Puerto Rico,8,58,9,8,15
1980,Norway,26,53,16,9,6
1980,Belgium,3,99,11,10,13
1980,United States,10,62,10,11,25
1980,Austria,12,61,26,12,4
1980,Sweden,25,37,23,13,5
1980,Qatar,4,23,45,14,29
1980,United Kingdom,36,29,14,15,8
1980,Canada,34,50,9,16,7
1980,Kuwait,18,32,50,17,9
1980,United Arab Emirates,1,174,102,18,99
1980,Poland,73,2,39,19,12
1980,Euro area,35,75,12,22,16
1980,Finland,50,12,19,23,48
1980,Italy,47,5,27,24,67
1980,OECD members,27,82,40,25,42
1980,Australia,72,84,2,26,20
1980,North America,81,30,5,27,43
1980,Latvia,40,79,24,28,17
1980,Cuba,33,57,35,29,54
1980,Gibraltar,66,70,17,30,28
1980,Greece,69,42,4,31,90
1980,Europe & Central Asia (IDA & IBRD countries),35,60,47,32,38
1980,Dominica,14,95,66,33,82
1980,European Union,41,69,39,34,44
1980,Japan,54,109,20,35,18
1980,Singapore,93,7,28,36,33
1980,Iceland,53,154,18,36,10
1980,Ireland,55,108,21,37,19
1980,Estonia,37,112,42,38,27
1980,French Polynesia,30,97,56,39,81
1980,Kosovo,17,126,69,40,79
1980,Post-demographic dividend,114,43,13,41,32
1980,Spain,68,40,22,42,78
1980,New Zealand,58,73,32,43,49
1980,Romania,83,26,46,44,31
1980,Montenegro,52,55,43,45,84
1980,Croatia,31,111,64,46,46
1980,Israel,67,81,38,47,47
1980,Channel Islands,127,88,15,48,26
1980,Europe & Central Asia (excluding high income),46,39,76,49,52
1980,High income,61,86,48,50,50
1980,Aruba,89,68,41,51,40
1980,Bulgaria,121,48,36,52,22
1980,Lithuania,43,107,59,53,98
1980,Barbados,90,80,33,54,53
1980,Luxembourg,105,45,44,55,35
1980,Antigua and Barbuda,60,89,63,56,56
1980,Isle of Man,59,20,86,57,64
1980,Uruguay,112,51,37,58,39
1980,Caribbean small states,38,72,88,58,60
1980,St. Martin (French part),71,83,64,59,41
1980,Europe & Central Asia,35,106,78,60,69
1980,Sri Lanka,71,77,60,61,73
1980,Seychelles,79,4,83,61,61
1980,Belize,7,101,101,62,113
1980,St. Kitts and Nevis,71,13,84,63,68
1980,St. Vincent and the Grenadines,71,14,85,64,65
1980,Cyprus,129,33,55,65,36
1980,Hungary,135,56,51,66,23
1980,Bahrain,42,128,67,67,97
1980,Libya,43,38,91,68,102
1980,"Korea, Dem. People's Rep.",17,101,101,69,113
1980,British Virgin Islands,74,20,86,70,64
1980,Late-demographic dividend,17,103,108,72,101
1980,Portugal,102,104,28,73,76
1980,North Macedonia,80,118,65,74,37
1980,Uzbekistan,111,87,49,75,57
1980,Argentina,56,31,97,75,87
1980,Ukraine,104,115,29,76,85
1980,Serbia,78,117,62,77,55
1980,Brunei Darussalam,107,9,82,78,62
1980,Guam,66,65,87,79,58
1980,Jamaica,48,66,92,80,93
1980,Moldova,113,46,54,81,100
1980,Belarus,91,28,89,82,59
1980,Upper middle income,23,121,104,83,120
1980,Costa Rica,143,152,31,84,14
1980,Grenada,66,93,79,84,71
1980,Panama,97,63,77,85,51
1980,Malta,98,102,52,86,104
1980,Sint Maarten (Dutch part),86,113,68,87,95
1980,Azerbaijan,84,19,96,88,105
1980,Kazakhstan,87,21,97,89,106
1980,New Caledonia,65,54,94,90,108
1980,"Bahamas, The",84,122,75,92,86
1980,Turkmenistan,150,114,58,93,77
1980,Curacao,136,113,71,94,70
1980,Albania,123,44,90,95,72
1980,Trinidad and Tobago,154,100,72,96,63
1980,Central Europe and the Baltics,127,106,78,97,69
1980,Latin America & the Caribbean (IDA & IBRD countries),40,96,115,98,94
1980,Mauritius,126,52,93,99,88
1980,Chile,128,105,81,100,66
1980,Georgia,141,144,70,101,83
1980,St. Lucia,71,85,99,102,126
1980,Colombia,162,90,80,103,91
1980,Turks and Caicos Islands,150,49,95,104,117
1980,Latin America & Caribbean (excluding high income),40,143,118,104,112
1980,Paraguay,115,59,98,105,124
1980,Armenia,92,78,112,106,96
1980,Jordan,94,125,100,107,119
1980,Greenland,66,123,116,108,111
1980,Virgin Islands (U.S.),100,92,103,109,128
1980,East Asia & Pacific (IDA & IBRD countries),134,91,106,110,116
1980,Suriname,20,177,127,111,141
1980,East Asia & Pacific (excluding high income),134,98,105,112,118
1980,Tajikistan,11,153,136,113,147
1980,"Micronesia, Fed. Sts.",126,74,111,114,103
1980,Fiji,41,133,120,115,129
1980,Mexico,131,119,107,116,114
1980,Small states,21,163,138,117,137
1980,Dominican Republic,14,180,133,119,166
1980,China,130,64,119,120,121
1980,Ecuador,140,135,110,121,115
1980,Latin America & Caribbean,40,166,125,121,140
1980,Malaysia,95,141,117,122,92
1980,Solomon Islands,21,176,139,123,153
1980,Kyrgyz Republic,17,170,150,124,145
1980,Brazil,82,181,113,125,123
1980,East Asia & Pacific,134,182,114,127,107
1980,Tunisia,156,11,130,128,173
1980,Samoa,63,177,128,128,143
1980,Saudi Arabia,28,189,135,129,109
1980,Eswatini,35,178,144,130,136
1980,Vanuatu,111,146,122,131,130
1980,World,100,165,123,132,133
1980,Ghana,13,149,170,133,193
1980,Indonesia,160,1,171,133,185
1980,Sao Tome and Principe,29,137,160,134,182
1980,Sudan,20,147,189,136,155
1980,Thailand,158,47,132,137,172
1980,Low & middle income,43,169,153,138,148
1980,Djibouti,14,159,184,139,181
1980,Tuvalu,106,171,126,140,151
1980,Botswana,77,185,131,141,152
1980,Oman,27,161,180,142,175
1980,Guyana,62,173,142,143,135
1980,Early-demographic dividend,16,131,201,144,168
1980,Honduras,61,170,151,145,145
1980,Cabo Verde,107,164,137,146,138
1980,India,147,6,159,147,157
1980,Zimbabwe,100,160,140,148,132
1980,Tonga,154,177,128,149,143
1980,Bangladesh,32,132,194,151,170
1980,Cameroon,38,148,167,152,195
1980,IBRD only,117,184,129,152,162
1980,Iraq,75,167,152,153,146
1980,Lower middle income,43,145,164,154,192
1980,Fragile and conflict affected situations,41,151,172,155,189
1980,South Africa,151,10,166,156,174
1980,Lesotho,45,149,169,157,193
1980,Lao PDR,17,131,204,158,168
1980,"Congo, Rep.",139,179,134,159,166
1980,Sub-Saharan Africa (excluding high income),20,131,205,160,168
1980,Benin,7,131,227,161,168
1980,Lebanon,45,188,143,162,150
1980,Sub-Saharan Africa (IDA & IBRD countries),20,131,213,163,168
1980,Sub-Saharan Africa,20,131,213,163,168
1980,IDA blend,116,175,145,164,134
1980,Philippines,145,18,164,165,196
1980,IDA total,49,150,175,166,191
1980,IDA only,49,157,177,166,186
1980,Kenya,85,134,157,167,165
1980,Pacific island small states,148,158,141,167,139
1980,Senegal,29,131,212,168,168
1980,Arab World,60,147,190,169,155
1980,Bolivia,77,130,162,170,180
1980,Marshall Islands,101,139,156,171,159
1980,Haiti,62,156,187,172,167
1980,Nauru,133,172,147,173,149
1980,Pakistan,149,16,191,174,190
1980,Gabon,137,170,149,174,145
1980,Guatemala,66,149,168,175,193
1980,Guinea-Bissau,66,161,179,176,175
1980,Heavily indebted poor countries (HIPC),62,159,185,177,181
1980,Other small states,148,170,148,178,144
1980,IDA & IBRD total,117,155,155,179,160
1980,Kiribati,85,138,163,179,177
1980,Guinea,66,162,183,180,179
1980,Bhutan,77,147,188,181,154
1980,Cambodia,38,131,203,182,168
1980,Middle East & North Africa,126,168,154,183,163
1980,Central African Republic,38,131,205,184,168
1980,"Yemen, Rep.",100,136,158,185,182
1980,Liberia,45,131,209,186,168
1980,Peru,109,124,173,187,188
1980,Least developed countries: UN classification,40,131,212,187,168
1980,Middle income,118,130,161,188,183
1980,Ethiopia,35,131,223,189,168
1980,Low income,43,131,211,189,168
1980,Eritrea,35,131,224,190,168
1980,Nicaragua,125,120,173,191,184
1980,Algeria,142,22,198,192,197
1980,Zambia,100,157,176,193,186
1980,Mongolia,96,183,182,195,164
1980,Middle East & North Africa (excluding high income),119,157,178,196,187
1980,Mauritania,126,147,192,196,156
1980,Middle East & North Africa (IDA & IBRD countries),126,156,186,197,169
1980,Maldives,105,131,195,198,168
1980,Morocco,108,116,202,199,171
1980,Nigeria,103,131,196,200,168
1980,Namibia,133,161,181,201,176
1980,Myanmar,120,131,197,202,168
1980,Equatorial Guinea,157,140,193,203,161
1980,Rwanda,63,131,219,203,168
1980,Papua New Guinea,110,131,200,204,168
