Year,Country,Ease_of_Living_Rank
1980,France,1
1980,Netherlands,2
1980,Denmark,3
1980,Germany,4
1980,Bermuda,5
1980,Slovenia,6
1980,Switzerland,7
1980,Puerto Rico,8
1980,Norway,9
1980,Belgium,10
1980,United States,11
1980,Austria,12
1980,Sweden,13
1980,Qatar,14
1980,United Kingdom,15
1980,Canada,16
1980,Kuwait,17
1980,United Arab Emirates,18
1980,Poland,19
1980,Euro area,22
1980,Finland,23
1980,Italy,24
1980,OECD members,25
1980,Australia,26
1980,North America,27
1980,Latvia,28
1980,Cuba,29
1980,Gibraltar,30
1980,Greece,31
1980,Europe & Central Asia (IDA & IBRD countries),32
1980,Dominica,33
1980,European Union,34
1980,Japan,35
1980,Singapore,36
1980,Iceland,36
1980,Ireland,37
1980,Estonia,38
1980,French Polynesia,39
1980,Kosovo,40
1980,Post-demographic dividend,41
1980,Spain,42
1980,New Zealand,43
1980,Romania,44
1980,Montenegro,45
1980,Croatia,46
1980,Israel,47
1980,Channel Islands,48
1980,Europe & Central Asia (excluding high income),49
1980,High income,50
1980,Aruba,51
1980,Bulgaria,52
1980,Lithuania,53
1980,Barbados,54
1980,Luxembourg,55
1980,Antigua and Barbuda,56
1980,Isle of Man,57
1980,Uruguay,58
1980,Caribbean small states,58
1980,St. Martin (French part),59
1980,Europe & Central Asia,60
1980,Sri Lanka,61
1980,Seychelles,61
1980,Belize,62
1980,St. Kitts and Nevis,63
1980,St. Vincent and the Grenadines,64
1980,Cyprus,65
1980,Hungary,66
1980,Bahrain,67
1980,Libya,68
1980,"Korea, Dem. People's Rep.",69
1980,British Virgin Islands,70
1980,Late-demographic dividend,72
1980,Portugal,73
1980,North Macedonia,74
1980,Uzbekistan,75
1980,Argentina,75
1980,Ukraine,76
1980,Serbia,77
1980,Brunei Darussalam,78
1980,Guam,79
1980,Jamaica,80
1980,Moldova,81
1980,Belarus,82
1980,Upper middle income,83
1980,Costa Rica,84
1980,Grenada,84
1980,Panama,85
1980,Malta,86
1980,Sint Maarten (Dutch part),87
1980,Azerbaijan,88
1980,Kazakhstan,89
1980,New Caledonia,90
1980,"Bahamas, The",92
1980,Turkmenistan,93
1980,Curacao,94
1980,Albania,95
1980,Trinidad and Tobago,96
1980,Central Europe and the Baltics,97
1980,Latin America & the Caribbean (IDA & IBRD countries),98
1980,Mauritius,99
1980,Chile,100
1980,Georgia,101
1980,St. Lucia,102
1980,Colombia,103
1980,Turks and Caicos Islands,104
1980,Latin America & Caribbean (excluding high income),104
1980,Paraguay,105
1980,Armenia,106
1980,Jordan,107
1980,Greenland,108
1980,Virgin Islands (U.S.),109
1980,East Asia & Pacific (IDA & IBRD countries),110
1980,Suriname,111
1980,East Asia & Pacific (excluding high income),112
1980,Tajikistan,113
1980,"Micronesia, Fed. Sts.",114
1980,Fiji,115
1980,Mexico,116
1980,Small states,117
1980,Dominican Republic,119
1980,China,120
1980,Ecuador,121
1980,Latin America & Caribbean,121
1980,Malaysia,122
1980,Solomon Islands,123
1980,Kyrgyz Republic,124
1980,Brazil,125
1980,East Asia & Pacific,127
1980,Tunisia,128
1980,Samoa,128
1980,Saudi Arabia,129
1980,Eswatini,130
1980,Vanuatu,131
1980,World,132
1980,Ghana,133
1980,Indonesia,133
1980,Sao Tome and Principe,134
1980,Sudan,136
1980,Thailand,137
1980,Low & middle income,138
1980,Djibouti,139
1980,Tuvalu,140
1980,Botswana,141
1980,Oman,142
1980,Guyana,143
1980,Early-demographic dividend,144
1980,Honduras,145
1980,Cabo Verde,146
1980,India,147
1980,Zimbabwe,148
1980,Tonga,149
1980,Bangladesh,151
1980,Cameroon,152
1980,IBRD only,152
1980,Iraq,153
1980,Lower middle income,154
1980,Fragile and conflict affected situations,155
1980,South Africa,156
1980,Lesotho,157
1980,Lao PDR,158
1980,"Congo, Rep.",159
1980,Sub-Saharan Africa (excluding high income),160
1980,Benin,161
1980,Lebanon,162
1980,Sub-Saharan Africa (IDA & IBRD countries),163
1980,Sub-Saharan Africa,163
1980,IDA blend,164
1980,Philippines,165
1980,IDA total,166
1980,IDA only,166
1980,Kenya,167
1980,Pacific island small states,167
1980,Senegal,168
1980,Arab World,169
1980,Bolivia,170
1980,Marshall Islands,171
1980,Haiti,172
1980,Nauru,173
1980,Pakistan,174
1980,Gabon,174
1980,Guatemala,175
1980,Guinea-Bissau,176
1980,Heavily indebted poor countries (HIPC),177
1980,Other small states,178
1980,IDA & IBRD total,179
1980,Kiribati,179
1980,Guinea,180
1980,Bhutan,181
1980,Cambodia,182
1980,Middle East & North Africa,183
1980,Central African Republic,184
1980,"Yemen, Rep.",185
1980,Liberia,186
