Year,Country,Quality_of_Life_Rank
1996,United States,1
1996,Australia,2
1996,Netherlands,3
1996,Norway,4
1996,Canada,5
1996,Belgium,7
1996,Switzerland,8
1996,Sweden,9
1996,Japan,10
1996,Germany,10
1996,Denmark,11
1996,New Zealand,12
1996,Finland,13
1996,Austria,14
1996,Iceland,15
1996,United Kingdom,16
1996,France,17
1996,Israel,19
1996,Italy,20
1996,Spain,21
1996,Singapore,23
1996,Ireland,24
1996,Greece,25
1996,Qatar,27
1996,Kuwait,28
1996,Cyprus,29
1996,Bahrain,30
1996,Slovenia,31
1996,Portugal,32
1996,United Arab Emirates,33
1996,Malta,34
1996,Poland,35
1996,Argentina,36
1996,Estonia,37
1996,Hungary,38
1996,Chile,39
1996,Croatia,41
1996,Uruguay,42
1996,Lithuania,43
1996,Saudi Arabia,44
1996,Bulgaria,45
1996,Latvia,46
1996,Panama,48
1996,Costa Rica,49
1996,Romania,50
1996,Montenegro,51
1996,Malaysia,52
1996,Lebanon,53
1996,Belarus,54
1996,Ukraine,55
1996,Mexico,56
1996,Serbia,57
1996,Georgia,58
1996,Ecuador,59
1996,Kazakhstan,60
1996,South Africa,61
1996,Jordan,62
1996,Colombia,64
1996,Brazil,65
1996,North Macedonia,66
1996,Peru,67
1996,Armenia,69
1996,Thailand,70
1996,Tunisia,71
1996,Philippines,72
1996,Moldova,73
1996,Algeria,74
1996,Azerbaijan,76
1996,Indonesia,78
1996,Mongolia,79
1996,China,81
1996,Nicaragua,82
1996,Morocco,83
1996,India,84
1996,Nepal,85
1996,Pakistan,86
