Year,Country,Sustainability_Rank
2009,Qatar,1
2009,Kuwait,2
2009,Bahrain,3
2009,United Arab Emirates,4
2009,Australia,5
2009,United States,6
2009,Saudi Arabia,7
2009,Kazakhstan,8
2009,Canada,9
2009,Netherlands,13
2009,Belgium,14
2009,Japan,15
2009,Singapore,16
2009,Ireland,18
2009,Israel,19
2009,United Kingdom,22
2009,Greece,22
2009,Germany,23
2009,Cyprus,24
2009,South Africa,25
2009,Poland,26
2009,Estonia,27
2009,Malta,28
2009,Malaysia,29
2009,Ukraine,30
2009,Belarus,31
2009,Mongolia,33
2009,Italy,34
2009,Slovenia,35
2009,Denmark,36
2009,Finland,37
2009,Bulgaria,38
2009,Lebanon,39
2009,China,40
2009,Spain,41
2009,France,42
2009,Algeria,43
2009,Serbia,44
2009,Jordan,46
2009,Mexico,47
2009,Argentina,47
2009,Hungary,48
2009,Azerbaijan,50
2009,Switzerland,51
2009,Austria,52
2009,Moldova,53
2009,New Zealand,55
2009,North Macedonia,57
2009,Armenia,58
2009,Romania,59
2009,Lithuania,59
2009,Portugal,60
2009,Ecuador,61
2009,Croatia,62
2009,Tunisia,63
2009,Thailand,64
2009,Morocco,65
2009,Panama,66
2009,Chile,67
2009,Norway,68
2009,Latvia,69
2009,Sweden,70
2009,Colombia,71
2009,Peru,72
2009,Georgia,73
2009,Indonesia,74
2009,India,75
2009,Montenegro,76
2009,Philippines,77
2009,Uruguay,78
2009,Costa Rica,79
2009,Brazil,80
2009,Pakistan,81
2009,Iceland,82
2009,Nicaragua,83
2009,Nepal,84
