Year,Country,Economic_Rank
2017,Switzerland,1
2017,Iceland,2
2017,Norway,3
2017,Japan,5
2017,Singapore,6
2017,Australia,7
2017,United States,8
2017,Denmark,9
2017,New Zealand,9
2017,Italy,11
2017,Kuwait,12
2017,Ireland,13
2017,Sweden,14
2017,Israel,15
2017,Belgium,16
2017,France,17
2017,Qatar,18
2017,Canada,19
2017,Finland,20
2017,Austria,21
2017,United Arab Emirates,22
2017,Netherlands,24
2017,United Kingdom,25
2017,India,26
2017,China,27
2017,Germany,28
2017,Uruguay,29
2017,Malta,30
2017,Bahrain,31
2017,Panama,32
2017,Costa Rica,33
2017,Lebanon,34
2017,Mongolia,35
2017,Nicaragua,36
2017,Jordan,37
2017,Spain,38
2017,Cyprus,39
2017,Greece,40
2017,Slovenia,41
2017,Argentina,42
2017,Saudi Arabia,43
2017,Brazil,44
2017,Chile,45
2017,Portugal,46
2017,Estonia,47
2017,Croatia,48
2017,Ecuador,49
2017,Thailand,50
2017,Latvia,51
2017,Lithuania,53
2017,South Africa,54
2017,Malaysia,55
2017,Indonesia,57
2017,Hungary,58
2017,Peru,61
2017,Poland,63
2017,Montenegro,65
2017,Bulgaria,66
2017,Romania,67
2017,Morocco,68
2017,Philippines,69
2017,Colombia,71
2017,Algeria,72
2017,Belarus,73
2017,Armenia,74
2017,Serbia,75
2017,Mexico,76
2017,Kazakhstan,77
2017,North Macedonia,78
2017,Tunisia,79
2017,Nepal,80
2017,Azerbaijan,82
2017,Moldova,83
2017,Pakistan,83
2017,Georgia,84
2017,Ukraine,85
