Country,Year,Econ_Index,Institutional_Index,Quality_Of_Life_Index_FA,Sustainability_Index_FA,Weight_Scheme,Economic_Weight,Institutional_Weight,Quality_of_Life_Weight,Sustainability_Weight,Sensitivity_EoLI_Score,Sensitivity_EoLI_Rank,Baseline_Rank,Rank_Change_vs_Baseline
Qatar,1971,-0.474,0.16161,0.084,0.46891,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.021639000000000005,10,10,0
Portugal,1971,-0.915,-0.51423,0.21,0.00405,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.2832,69,69,0
Peru,1971,-0.819,-0.30882,-1.406,-0.86758,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.9041919999999999,175,175,0
Philippines,1971,-0.983,-0.27701,-0.927,-0.66241,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.738814,121,121,0
Pakistan,1971,-0.623,-0.84634,-1.668,-0.84217,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-1.0774605,224,224,0
Panama,1971,-0.807,-0.59778,-0.607,-0.9138,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.700715,115,115,0
Tunisia,1971,-0.892,-0.34269,-0.556,-0.50117,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.578448,102,102,0
Uruguay,1971,-1.039,-0.44378,0.338,0.24363,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.21585049999999997,58,58,0
United States,1971,-0.191,-0.20271,0.411,-0.30254,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,4.1499999999979054e-05,15,15,0
South Africa,1971,-0.855,0.08927,-0.282,-0.2763,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.3315775,76,76,0
Singapore,1971,-0.752,-0.35091,0.165,0.20928,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.18658550000000002,53,53,0
Saudi Arabia,1971,-0.764,-0.49601,-1.249,-0.88112,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.8843205000000001,164,164,0
Thailand,1971,-0.724,-0.65841,-0.169,0.10539,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.388944,83,83,0
Sweden,1971,-0.738,-0.49154,0.817,0.71542,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.08587799999999995,7,7,0
New Zealand,1971,-0.883,-0.20417,0.458,0.5335,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.031467499999999995,22,22,0
Argentina,1971,-0.408,-0.42511,-0.179,0.05218,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.2631005,66,66,0
Hungary,1971,-0.813,-0.19501,0.392,0.36293,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.06036299999999998,29,29,0
Germany,1971,-0.78,-0.59406,0.256,-0.01958,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.256852,64,64,0
Costa Rica,1971,-0.849,-0.52648,-0.185,-0.54367,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.49017049999999995,97,97,0
Colombia,1971,-0.888,-0.37576,-0.579,-0.65106,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.616249,107,107,0
China,1971,-0.777,-0.35923,-0.577,-0.64142,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.5822205,103,103,0
Chile,1971,-1.032,-0.29398,-0.291,0.03134,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.42864399999999997,91,91,0
Switzerland,1971,-0.698,-0.19229,0.731,-0.04141,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.027065999999999986,9,9,0
Canada,1971,-0.376,-0.48507,0.548,0.15824,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.00026849999999999444,14,14,0
Denmark,1971,-0.794,-0.39617,0.548,0.24134,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.06954150000000005,33,33,0
Brazil,1971,-0.543,-0.81996,-1.092,-0.79455,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.8421225,145,145,0
Bahrain,1971,-0.722,-0.69482,-0.161,0.16123,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.3863705,82,82,0
Belgium,1971,-0.261,-0.24554,0.402,-0.22483,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.019659500000000003,19,19,0
Austria,1971,-0.511,-0.41845,0.347,0.16052,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.08683450000000001,35,35,0
Australia,1971,-0.92,-0.548,0.201,-0.15832,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.32039799999999996,75,75,0
Greece,1971,-0.92,-0.54453,0.379,0.46566,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.1636335,46,46,0
Georgia,1971,-0.883,-0.34617,0.27,-0.00575,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.21365499999999996,55,55,0
Algeria,1971,-0.573,-0.82715,-1.92,-0.86716,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-1.1521115,238,238,0
United Kingdom,1971,-0.885,-0.51223,0.479,0.58683,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.09363300000000001,37,37,0
France,1971,-0.818,-0.31491,0.317,0.27427,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.13113699999999998,39,39,0
Finland,1971,-0.792,-0.45582,0.324,0.1862,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.17062499999999997,49,49,0
Spain,1971,-0.847,-0.43805,0.273,-0.11464,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.2429085,62,62,0
Ecuador,1971,-0.861,-0.09117,-1.086,-1.04106,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.7743015000000001,127,127,0
United Arab Emirates,1971,-0.232,-1.35376,-0.513,-0.49971,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.6509465,110,110,0
Cyprus,1971,0.287,-0.31667,0.128,-0.23103,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.0027279999999999943,13,13,0
Morocco,1971,-0.833,-0.30303,-1.687,-0.86609,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-1.004371,207,207,0
Mexico,1971,-0.823,-0.49375,-0.929,-0.87863,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.786132,129,129,0
Malta,1971,-0.722,-0.25321,0.103,0.21686,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.17522349999999998,51,51,0
Malaysia,1971,-0.779,-0.43695,-0.185,-0.22045,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.4018050000000001,87,87,0
Nicaragua,1971,-0.841,-0.34778,-1.1,-1.10565,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.8480425,150,150,0
Norway,1971,-0.788,-0.47683,0.337,0.1583,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.1745125,50,50,0
Nepal,1971,-0.554,-0.82191,-1.737,-0.86716,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-1.0820015,228,228,0
Kuwait,1971,-0.386,-0.27521,-0.073,-0.00832,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.1921005,54,54,0
Japan,1971,-0.831,-0.43062,0.372,0.25548,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.146883,42,42,0
Italy,1971,-0.465,-0.42497,0.343,0.25509,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.06417900000000001,31,31,0
Israel,1971,-0.85,-0.71828,0.534,-0.06144,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.21438600000000002,57,57,0
Iceland,1971,-0.588,0.12808,0.47,0.14853,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.07179949999999997,8,8,0
Netherlands,1971,-0.784,-0.36471,0.348,0.12538,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.14657050000000002,41,41,0
Ireland,1971,-0.76,-0.08417,0.515,0.18335,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.003289999999999998,16,16,0
Jordan,1971,-0.587,-0.88758,-0.879,-0.81819,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.7990235,130,130,0
Poland,1971,-0.09,0.0265,0.413,0.22636,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.16262899999999997,2,2,0
Indonesia,1971,-0.828,-0.40489,-1.101,-1.13547,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.8638929999999999,157,157,0
India,1971,-0.73,-0.53213,-1.188,-0.75173,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.844092,146,146,0
Greece,1972,-0.709,0.43927,0.525,-0.17561,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.089976,12,12,0
Georgia,1972,-0.882,-0.35109,0.276,0.05652,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.2031945,56,56,0
United Kingdom,1972,-0.826,-0.3907,0.412,0.4393,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.09407999999999998,35,35,0
France,1972,-0.816,-0.38101,0.342,0.19071,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.15094599999999997,46,46,0
United States,1972,-0.291,-0.84974,0.26,0.28384,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.15160900000000002,47,47,0
South Africa,1972,-0.853,-0.22202,-0.995,-0.82557,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.7408405,123,123,0
Uruguay,1972,-0.898,-0.55638,0.338,0.31887,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.1974645,54,54,0
Kuwait,1972,-0.428,0.134,0.115,0.16383,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.008675499999999996,17,17,0
Japan,1972,-0.718,-0.25642,0.415,-0.1087,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.11466,38,38,0
