Carbon_dioxide_emissions,Electricity_production_non_renewable,Electricity production_renewable,Micro_air_pollution,Greenhouse_emission
-34.08701146,7.857517025,0,22.70311049,-21.51916292
-64.42970184,4.949911609,0,22.4828964,-46.57876258
-66.54180582,6.092377444,0,22.29713188,-46.23980304
-64.71552788,4.313625983,0,22.14201178,-40.21741957
-68.83894455,6.013860943,0,22.01373098,-43.32267041
-69.07061407,4.279505182,0,21.95188313,-45.58355656
-76.21325631,3.825554705,0,21.97760117,-52.04806117
-71.18572675,3.679780779,0,22.0593889,-49.7204234
-53.64503415,2.670841776,0,22.1657501,-39.21527832
-51.4201041,3.850983675,0,22.26518857,-37.38611046
-48.25044378,4.691689008,0,22.36600621,-35.73032344
-39.7177844,6.046013911,0,22.48278512,-30.28009675
-36.63688058,2.143429487,0,22.59344935,-28.61130616
-33.58305503,2.497324295,0,22.67592295,-26.7812714
-37.57860216,1.286055484,0,22.70812997,-30.30437006
-37.78319343,1.683562636,0,22.5109696,-29.91166246
-36.1314198,2.517482517,0,22.04122997,-30.2904996
-36.87908054,0,0,21.48066857,-32.16474647
-35.67560249,0.019223376,0,21.01104291,-32.35893301
-31.42431627,0.013213531,0,20.81411047,-29.68279975
-25.37082167,1.407778573,0,22.79990425,-26.20044559
-31.77482926,0,0,20.96272041,-28.71360086
-28.23058639,0,0,19.40753225,-26.44838019
-23.24818726,0,0,19.36794422,-22.18754605
-26.75933448,0,0,19.12155731,-23.5806611
6.021206803,98.31075238,0,22.73088781,2.180182045
17.65417776,98.91173575,0,23.1553408,8.507617888
18.08011001,98.18172453,0,23.62641851,12.24530784
14.3078196,99.16511593,0,24.13781054,9.949008444
18.04816141,99.02104996,0,24.68320649,16.91433569
16.41083249,99.34637358,0,25.41090842,17.81942039
14.12157546,99.65111411,0,26.335955,13.42779921
14.37024452,99.07574585,0,27.25214078,12.75556613
19.11998539,99.18002989,0,27.95326031,17.31471434
23.05996914,99.78750197,0,28.23310812,23.20852661
20.68988363,99.74084507,0,28.13193067,15.38314955
27.31752491,99.79383681,0,27.8679443,15.8465222
36.7924195,99.10385175,0,27.50189844,25.69545312
36.15712822,99.1968,0,27.09454247,23.71576886
44.53678947,98.36355595,0,26.70662581,29.09836318
51.92133283,99.38113893,0,26.33557009,35.18856045
55.75737321,99.39240779,0,25.93054224,34.36086448
62.86365457,99.29664977,0,25.47990961,40.15727252
67.84719441,99.20521545,0,24.97203955,37.7699437
71.32075805,99.61953907,0,24.39529939,43.35235035
80.66623872,99.01999063,0,23.57210779,47.62949929
102.10051,98.91631967,0,24.39681643,59.088376
108.3958564,99.44898981,0,22.38026402,60.98642167
123.7439931,99.60462003,0,24.11112295,70.9777917
137.5212009,99.6773162,0.111921858,25.61886583,78.11887154
4.895117284,17.34475375,0,23.44396745,-0.375032182
7.952129544,11.29883844,0,23.12946351,-2.884400835
8.103607115,6.315789474,0,22.89532855,8.064765283
2.382892779,6.282722513,0,22.74863566,39.96052293
15.41705053,6.25,0,22.6964579,61.17372772
39.62688683,10.01945525,0,22.75995361,92.71733844
46.0704415,23.64746946,0,22.92253538,100.8579111
51.7167458,19.57511381,0,23.1346577,115.8978173
60.54053575,33.03370787,0,23.34677511,118.0979489
47.07940614,36.88581315,0,23.50934209,104.4262952
