Carbon_dioxide_emissions,Electricity_production_non_renewable,Electricity production_renewable,Micro_air_pollution,Greenhouse_emission
-40.95752302,7.857517025,0.0,22.70311049,-56.43171053
34.69256542,4.949911609,0.0,22.4828964,14.28054557
2.045826514,25.01396908,4.926108374,24.46234419,-25.5482632
-64.71552788,4.313625983,0.0,22.14201178,-40.21741957
-33.18254531,65.71235724,1.849817125,22.01373098,-43.32267041
-69.07061407,4.279505182,0.0,21.95188313,-45.58355656
-76.21325631,3.825554705,0.034662045,21.97760117,-52.04806117
122.0650377,3.679780779,0.0,18.65328331,100.8579111
-53.64503415,1.244075829,0.0,22.1657501,-39.21527832
-51.4201041,3.850983675,0.0,7.027491907,-37.38611046
-48.25044378,4.691689008,0.038261287,22.36600621,-35.73032344
-39.7177844,6.046013911,0.0,12.51414579,-30.28009675
-33.38232319,0.921714875,0.0,22.59344935,-28.61130616
-33.58305503,2.497324295,0.0,22.67592295,-26.7812714
-37.57860216,1.286055484,2.295830954,56.79835009,20.14377117
-37.78319343,1.683562636,0.0,22.5109696,-29.91166246
-36.1314198,2.517482517,0.0,22.04122997,-18.1764775
-36.87908054,0.0,1.116677592,33.77157843,-32.16474647
-35.67560249,0.019223376,0.0,21.81234003,-32.35893301
-31.42431627,0.013213531,1.968264539,20.81411047,-29.68279975
-25.37082167,14.09233921,0.0,22.79990425,-26.20044559
-31.77482926,0.0,0.0,20.96272041,-28.71360086
-28.23058639,0.0,0.0,27.55674694,-26.44838019
-23.24818726,0.0,0.0,13.89912303,-22.18754605
-26.75933448,100.0,0.0,20.55097491,-23.5806611
6.021206803,98.31075238,0.0,22.73088781,2.180182045
17.65417776,98.91173575,0.0,23.1553408,33.73023819
18.08011001,98.18172453,0.0,23.62641851,12.24530784
14.3078196,99.16511593,0.0,24.13781054,9.949008444
18.04816141,100.0,0.0,24.68320649,16.91433569
39.31007282,99.34637358,0.0,25.41090842,17.81942039
14.12157546,99.65111411,0.0,26.335955,13.42779921
14.37024452,99.07574585,0.0,27.25214078,12.75556613
73.01422424,99.18002989,0.470711297,27.95326031,17.31471434
23.05996914,99.78750197,0.0,28.23310812,23.20852661
36.97381632,99.74084507,0.0,28.13193067,15.38314955
27.31752491,99.79383681,0.0,27.8679443,11.8784187
59.59772815,99.10385175,0.0,30.2785785,25.69545312
265.7113349,25.66180194,0.0,27.09454247,-35.33702462
37.90574151,98.36355595,0.0,26.70662581,29.09836318
51.92133283,99.38113893,0.104827237,26.33557009,35.18856045
55.75737321,99.39240779,0.815107914,25.93054224,34.36086448
16.11103649,99.29664977,0.0,19.63984379,43.35235035
-10.35380966,99.20521545,0.0,24.97203955,106.7541604
110.1120163,99.61953907,0.0,49.01156438,43.35235035
80.66623872,99.01999063,0.0,23.57210779,11.03155705
409.2986776,98.91631967,0.0,30.86528306,59.088376
149.8726331,0.0,0.0,22.38026402,60.98642167
133.3710182,99.60462003,0.0,24.11112295,70.9777917
159.1901273,99.6773162,0.111921858,25.61886583,78.11887154
4.895117284,38.74503357,0.0,23.44396745,-0.375032182
7.952129544,11.29883844,0.789296371,23.12946351,-2.884400835
8.103607115,6.315789474,0.0,22.89532855,8.064765283
2.382892779,6.282722513,0.0,22.74863566,39.96052293
15.41705053,6.25,0.0,22.36966305,61.17372772
115.6734237,10.01945525,1.124593075,22.75995361,92.71733844
46.0704415,23.64746946,0.0,22.92253538,100.8579111
28.70265915,19.57511381,0.461254613,22.14597455,115.8978173
147.7381877,33.03370787,0.0,23.34677511,6.254459668
97.11373753,36.88581315,0.0,23.50934209,104.4262952
44.24030898,37.91208791,0.861678005,23.65268219,3.897167238
41.95485791,35.2407932,2.679188189,14.67767169,49.38960704
66.66993873,37.79448622,0.249539312,23.98111244,2.13602387
57.7120686,21.59498208,0.0,64.84243184,112.9104328
-19.46242315,20.35175879,0.0,24.16380738,110.3552936
48.13443413,87.0961161,0.0,24.17293161,90.40707155
52.67876125,22.3811004,0.0,24.17419013,4.959218507
